,Total equity capital,Total assets,Total loans,1-4 family residential loans,Other real estate loans,Commercial and industrial loans,Credit cards,Allowance for loan losses,Total noninterest expense,Net Income before,Total transaction deposits,Total nontransaction deposits,Available-for-sale Fair Value,Number of full-time employees,AsOfDate,Target
1056,442,22341.0,14255.0,3433.0,6046.0,1161.0,0.0,1146.0,487.0,-1011.0,9645.0,12164.0,1243.0,5.0,6/30/2012,1
1361,971,96002.0,67894.0,10163.0,43942.0,11283.0,0.0,3115.0,1824.0,-1475.0,26847.0,62876.0,0.0,14.0,6/30/2012,1
16240,1751,206672.0,108321.0,25857.0,50945.0,7328.0,0.0,4584.0,3135.0,-5361.0,56064.0,148173.0,58907.0,42.0,6/30/2012,1
19498,-16707,153208.0,105865.0,32104.0,46126.0,5646.0,0.0,2692.0,20684.0,-24555.0,38562.0,125619.0,4684.0,42.0,6/30/2012,1
20685,6984,328422.0,179518.0,48687.0,101413.0,20209.0,0.0,17811.0,5747.0,-3940.0,73866.0,243011.0,79120.0,93.0,6/30/2012,1
27316,5919,282338.0,202061.0,66131.0,118607.0,16525.0,0.0,12476.0,5399.0,-9363.0,33158.0,212558.0,29193.0,56.0,6/30/2012,1
27986,-1347,190891.0,145922.0,139638.0,6284.0,0.0,0.0,4133.0,4564.0,-5398.0,25718.0,145909.0,22569.0,62.0,6/30/2012,1
28243,41,83679.0,64001.0,44447.0,8476.0,10857.0,0.0,1521.0,3445.0,-2329.0,12931.0,60070.0,9149.0,26.0,6/30/2012,1
32711,315,209021.0,138778.0,20797.0,113234.0,3697.0,0.0,4126.0,6385.0,-4612.0,20741.0,161373.0,15683.0,55.0,6/30/2012,1
35246,3149,215867.0,179235.0,48626.0,101129.0,25358.0,0.0,6629.0,2439.0,-3637.0,12623.0,194187.0,13524.0,20.0,6/30/2012,1
57096,-916,78771.0,55165.0,17582.0,35980.0,1541.0,0.0,4858.0,2394.0,-3001.0,23673.0,55203.0,1796.0,28.0,6/30/2012,1
57847,1896,116890.0,72356.0,12180.0,48239.0,10565.0,0.0,1971.0,1508.0,-1249.0,20267.0,94481.0,10013.0,20.0,6/30/2012,1
37,18253,84288.0,36550.0,18559.0,6984.0,3056.0,0.0,1090.0,1139.0,240.0,14245.0,51334.0,34865.0,25.0,6/30/2012,0
242,4805,35284.0,21455.0,7505.0,7133.0,1418.0,0.0,168.0,442.0,267.0,10706.0,15451.0,9674.0,12.0,6/30/2012,0
279,24779,151777.0,76678.0,48904.0,19181.0,3212.0,0.0,625.0,2265.0,533.0,23171.0,90033.0,10549.0,41.0,6/30/2012,0
354,1085,11297.0,3875.0,1161.0,950.0,417.0,0.0,165.0,168.0,37.0,2917.0,6325.0,6100.0,4.0,6/30/2012,0
457,3424,38783.0,33456.0,7436.0,9188.0,6065.0,0.0,437.0,487.0,388.0,7407.0,25084.0,461.0,9.0,6/30/2012,0
505,30941,390811.0,244234.0,131522.0,57042.0,16741.0,0.0,4230.0,5581.0,1233.0,24775.0,286581.0,69546.0,112.0,6/30/2012,0
1155,19918,216222.0,129399.0,26588.0,51545.0,34940.0,483.0,2638.0,3052.0,948.0,95805.0,87566.0,25142.0,54.0,6/30/2012,0
1351,19257,162428.0,71691.0,13626.0,26028.0,18567.0,0.0,1488.0,1293.0,1808.0,26131.0,116501.0,4616.0,30.0,6/30/2012,0
1454,62598,607931.0,231068.0,96258.0,76420.0,27057.0,0.0,3072.0,7808.0,5032.0,264892.0,279166.0,248716.0,145.0,6/30/2012,0
1557,5987,67497.0,35332.0,2518.0,8972.0,3463.0,0.0,421.0,621.0,363.0,30117.0,28797.0,4064.0,13.0,6/30/2012,0
1669,45488,239477.0,81122.0,45624.0,12608.0,6062.0,0.0,2812.0,2693.0,1550.0,89220.0,104310.0,63912.0,54.0,6/30/2012,0
1829,44724,406624.0,243830.0,116879.0,108969.0,15980.0,721.0,4170.0,5737.0,1594.0,103689.0,240361.0,90996.0,94.0,6/30/2012,0
1856,14879,113207.0,56364.0,1530.0,18174.0,36603.0,0.0,920.0,3297.0,-2645.0,4197.0,63945.0,8893.0,8.0,6/30/2012,0
2040,20211,198475.0,117024.0,27216.0,76186.0,9833.0,4.0,3866.0,3934.0,-615.0,38448.0,132166.0,48689.0,48.0,6/30/2012,0
2161,14553,136513.0,62605.0,31210.0,2450.0,15317.0,312.0,609.0,1812.0,1321.0,56944.0,63230.0,42300.0,31.0,6/30/2012,0
2376,415836,2665784.0,1916338.0,178258.0,1721409.0,10387.0,0.0,31187.0,17904.0,15825.0,41686.0,1368584.0,498542.0,188.0,6/30/2012,0
2554,1197,11793.0,4631.0,428.0,1481.0,1154.0,0.0,114.0,134.0,87.0,4802.0,5769.0,2380.0,4.0,6/30/2012,0
2732,77954,534283.0,347821.0,39810.0,270972.0,34552.0,0.0,6121.0,5735.0,1266.0,138838.0,315189.0,90271.0,92.0,6/30/2012,0
2750,5394,59269.0,37527.0,2286.0,9233.0,3002.0,0.0,789.0,681.0,-67.0,14802.0,34226.0,15400.0,10.0,6/30/2012,0
3177,103416,1018275.0,690858.0,583758.0,100456.0,5796.0,0.0,3307.0,10699.0,2972.0,72188.0,720185.0,82960.0,184.0,6/30/2012,0
3252,20787,160317.0,85404.0,571.0,25027.0,10478.0,0.0,1677.0,1608.0,1511.0,62307.0,71767.0,63287.0,36.0,6/30/2012,0
3458,3379,33464.0,15331.0,2679.0,7200.0,3168.0,0.0,335.0,388.0,106.0,9954.0,15765.0,7830.0,11.0,6/30/2012,0
3720,29683,206137.0,123204.0,31912.0,60234.0,13031.0,0.0,1525.0,3300.0,1019.0,76764.0,91720.0,49289.0,63.0,6/30/2012,0
3971,101820,669520.0,422658.0,158695.0,145434.0,26003.0,0.0,12705.0,33832.0,3378.0,34321.0,492682.0,93251.0,590.0,6/30/2012,0
4156,20967,199768.0,123378.0,33226.0,63905.0,13557.0,0.0,1963.0,3283.0,1229.0,70087.0,96618.0,46339.0,64.0,6/30/2012,0
4231,14793,120929.0,67625.0,12734.0,43971.0,4164.0,0.0,820.0,1514.0,135.0,27518.0,78197.0,44717.0,32.0,6/30/2012,0
4437,26883,262012.0,137907.0,59908.0,57575.0,9424.0,0.0,3117.0,3594.0,200.0,65686.0,163156.0,95981.0,63.0,6/30/2012,0
4839,33080,340531.0,235650.0,35167.0,187698.0,10750.0,0.0,5095.0,5334.0,1650.0,53368.0,227987.0,75271.0,89.0,6/30/2012,0
5005,34238,335581.0,186588.0,108899.0,74966.0,2593.0,0.0,135.0,8215.0,3974.0,51973.0,199800.0,93713.0,71.0,6/30/2012,0
