,Total equity capital,Total assets,Total loans,1-4 family residential loans,Other real estate loans,Commercial and industrial loans,Credit cards,Allowance for loan losses,Total noninterest expense,Net Income before,Total transaction deposits,Total nontransaction deposits,Available-for-sale Fair Value,Number of full-time employees,AsOfDate,Target
3731,18432,923959.0,516117.0,125263.0,292633.0,35191.0,0.0,19002.0,32364.0,-4712.0,217849.0,651591.0,168532.0,267.0,9/30/2012,1
19189,3322,186113.0,147056.0,45842.0,72919.0,23480.0,0.0,7007.0,6628.0,-6395.0,27929.0,145741.0,8528.0,44.0,9/30/2012,1
27148,2204,444710.0,281738.0,84364.0,151905.0,43530.0,0.0,6182.0,12858.0,-7304.0,69254.0,325994.0,100522.0,93.0,9/30/2012,1
27331,726,42816.0,28109.0,8243.0,16209.0,2384.0,0.0,1510.0,1992.0,-1492.0,9865.0,32016.0,443.0,18.0,9/30/2012,1
28144,361,65686.0,42349.0,36219.0,6001.0,3.0,0.0,1404.0,3022.0,-2868.0,2752.0,62136.0,8734.0,12.0,9/30/2012,1
35009,1246,225477.0,184635.0,50854.0,88598.0,41148.0,0.0,9546.0,4427.0,-7514.0,25683.0,197626.0,0.0,38.0,9/30/2012,1
57928,-5282,124561.0,69712.0,15357.0,53253.0,3214.0,0.0,4559.0,4126.0,-12733.0,16631.0,92300.0,38633.0,18.0,9/30/2012,1
58073,2424,139391.0,110508.0,38087.0,63854.0,4506.0,0.0,7795.0,4079.0,-5204.0,15907.0,115672.0,978.0,27.0,9/30/2012,1
37,18461,82259.0,37200.0,18378.0,6799.0,3016.0,0.0,977.0,1737.0,316.0,13092.0,50015.0,37065.0,25.0,9/30/2012,0
242,4902,35003.0,21515.0,7504.0,7181.0,1446.0,0.0,168.0,658.0,398.0,10771.0,15012.0,9142.0,12.0,9/30/2012,0
279,24999,150684.0,77707.0,50099.0,18008.0,3165.0,0.0,565.0,3517.0,738.0,23496.0,89896.0,9827.0,41.0,9/30/2012,0
354,1087,9880.0,3912.0,1048.0,1048.0,407.0,0.0,167.0,254.0,37.0,2484.0,6305.0,5181.0,4.0,9/30/2012,0
457,3564,40992.0,35352.0,8031.0,9582.0,6435.0,0.0,447.0,732.0,665.0,8795.0,25737.0,462.0,9.0,9/30/2012,0
505,31736,419378.0,248592.0,139247.0,58040.0,16813.0,0.0,4316.0,8308.0,2039.0,30539.0,307984.0,83529.0,103.0,9/30/2012,0
1155,19503,206384.0,131951.0,26846.0,52568.0,37183.0,488.0,2584.0,4535.0,1466.0,94013.0,83257.0,27896.0,53.0,9/30/2012,0
1351,19791,161854.0,70826.0,14451.0,26405.0,16452.0,0.0,1479.0,1943.0,2701.0,25565.0,115874.0,5605.0,30.0,9/30/2012,0
1454,64290,612259.0,236930.0,99715.0,76045.0,27017.0,0.0,2739.0,11963.0,7259.0,272177.0,274387.0,280194.0,146.0,9/30/2012,0
1557,6070,68371.0,34048.0,2465.0,8506.0,3625.0,0.0,383.0,931.0,572.0,30803.0,29096.0,3749.0,13.0,9/30/2012,0
1669,46079,246152.0,80150.0,45686.0,11521.0,5959.0,0.0,2865.0,4003.0,2098.0,90368.0,109013.0,70418.0,51.0,9/30/2012,0
1829,45104,406310.0,236990.0,114807.0,106358.0,13891.0,732.0,4267.0,8654.0,2165.0,102870.0,239583.0,82289.0,98.0,9/30/2012,0
1856,14835,111032.0,59979.0,1395.0,26350.0,32252.0,0.0,944.0,3643.0,-2667.0,6334.0,59646.0,8272.0,9.0,9/30/2012,0
2040,21298,193464.0,116834.0,24881.0,74774.0,12753.0,6.0,3971.0,5061.0,-352.0,38728.0,126613.0,50209.0,48.0,9/30/2012,0
2161,15289,137521.0,63300.0,31957.0,2496.0,15408.0,318.0,605.0,2723.0,1784.0,58131.0,62106.0,42015.0,33.0,9/30/2012,0
2376,427007,2731998.0,1988597.0,168945.0,1803913.0,10396.0,0.0,32504.0,27082.0,24549.0,39276.0,1342579.0,439543.0,193.0,9/30/2012,0
2554,1211,12748.0,4760.0,419.0,1453.0,1117.0,0.0,120.0,217.0,115.0,4634.0,6456.0,3053.0,4.0,9/30/2012,0
2732,78238,531141.0,331251.0,36892.0,257720.0,34413.0,0.0,6908.0,8660.0,1779.0,138628.0,311696.0,88181.0,92.0,9/30/2012,0
2750,5394,58535.0,38204.0,2205.0,9317.0,2666.0,0.0,821.0,1024.0,-127.0,13501.0,34007.0,14633.0,10.0,9/30/2012,0
3177,104353,1053580.0,685378.0,583268.0,96048.0,5607.0,0.0,3313.0,16120.0,4323.0,73079.0,753264.0,83433.0,177.0,9/30/2012,0
3252,21436,171596.0,83682.0,567.0,25909.0,10597.0,0.0,1785.0,2427.0,2283.0,69255.0,77142.0,72841.0,36.0,9/30/2012,0
3458,3443,33408.0,14789.0,2896.0,6308.0,3066.0,0.0,349.0,594.0,141.0,10319.0,15773.0,7033.0,11.0,9/30/2012,0
3720,29881,194873.0,128127.0,32601.0,62667.0,14586.0,0.0,1565.0,4955.0,1625.0,75051.0,86563.0,36953.0,61.0,9/30/2012,0
3971,103694,677910.0,430226.0,153887.0,153144.0,29601.0,0.0,13465.0,51070.0,5229.0,33862.0,499351.0,92392.0,585.0,9/30/2012,0
4156,21297,194848.0,124036.0,34911.0,62763.0,14217.0,0.0,1731.0,5053.0,1686.0,65313.0,94858.0,46049.0,64.0,9/30/2012,0
4231,15123,115073.0,66755.0,12580.0,43603.0,4883.0,0.0,751.0,2313.0,154.0,24872.0,74413.0,37724.0,32.0,9/30/2012,0
4437,27612,255817.0,135526.0,59912.0,57603.0,8385.0,0.0,3000.0,5233.0,735.0,63654.0,158064.0,97574.0,63.0,9/30/2012,0
4839,34267,335532.0,236094.0,34576.0,188609.0,10600.0,0.0,5291.0,7988.0,2663.0,52978.0,222473.0,77083.0,90.0,9/30/2012,0
5005,34739,325852.0,181069.0,103091.0,75462.0,2386.0,0.0,210.0,10690.0,4065.0,52106.0,194771.0,106980.0,70.0,9/30/2012,0
5069,135117,428009.0,321219.0,29570.0,287594.0,1964.0,0.0,16750.0,3366.0,17847.0,12958.0,272842.0,40933.0,30.0,9/30/2012,0
5135,41954,353804.0,269203.0,56203.0,121374.0,27092.0,514.0,3661.0,6401.0,2639.0,76130.0,219444.0,27609.0,63.0,9/30/2012,0
5210,86573,1047792.0,696695.0,372422.0,257219.0,33816.0,0.0,15993.0,19412.0,6188.0,93270.0,740619.0,175096.0,254.0,9/30/2012,0
5331,35505,392223.0,132636.0,18518.0,107344.0,6123.0,0.0,2292.0,6888.0,1280.0,71648.0,172424.0,226676.0,71.0,9/30/2012,0
5461,46824,461418.0,324663.0,44105.0,209028.0,40567.0,0.0,5474.0,11677.0,119.0,43165.0,353731.0,90921.0,121.0,9/30/2012,0
5751,27531,118922.0,53858.0,10544.0,10000.0,5837.0,0.0,676.0,1871.0,2129.0,20466.0,70142.0,55066.0,18.0,9/30/2012,0
6039,8578,83562.0,51313.0,6315.0,29689.0,7700.0,522.0,1300.0,2084.0,-148.0,26959.0,47815.0,3497.0,24.0,9/30/2012,0
6141,5247,69142.0,23448.0,5426.0,9782.0,1086.0,0.0,375.0,990.0,269.0,45235.0,18547.0,0.0,11.0,9/30/2012,0
6329,34700,442110.0,315912.0,74904.0,91807.0,28532.0,1230.0,7306.0,16372.0,2283.0,118126.0,287248.0,39896.0,187.0,9/30/2012,0
7009,53885,652516.0,240094.0,0.0,0.0,56635.0,0.0,0.0,37031.0,10602.0,62891.0,525726.0,383818.0,83.0,9/30/2012,0
7045,17817,161493.0,72200.0,28457.0,20661.0,5074.0,490.0,996.0,2695.0,1183.0,75541.0,66882.0,75858.0,47.0,9/30/2012,0
7072,33417,174240.0,127362.0,95005.0,31340.0,2224.0,0.0,1640.0,3015.0,706.0,11305.0,123828.0,8694.0,30.0,9/30/2012,0
7157,4507,49994.0,24756.0,8320.0,3422.0,6244.0,0.0,331.0,833.0,194.0,10460.0,34567.0,21049.0,8.0,9/30/2012,0
7456,5817,67403.0,33416.0,2668.0,14269.0,7765.0,0.0,407.0,1375.0,598.0,27364.0,34101.0,15532.0,16.0,9/30/2012,0
7634,6143,60226.0,40265.0,11437.0,21102.0,4038.0,0.0,1117.0,1244.0,725.0,11627.0,42359.0,6970.0,12.0,9/30/2012,0
8033,17176,180332.0,147726.0,47334.0,73371.0,16934.0,0.0,1019.0,2765.0,1386.0,50692.0,95069.0,10326.0,35.0,9/30/2012,0
8462,17488,182409.0,39485.0,2332.0,7756.0,12681.0,0.0,499.0,1761.0,1244.0,100793.0,63941.0,82515.0,21.0,9/30/2012,0
8631,6844,62085.0,34219.0,13920.0,5798.0,6617.0,0.0,460.0,1331.0,385.0,19190.0,35657.0,9620.0,20.0,9/30/2012,0
9357,73763,487411.0,344991.0,160053.0,53023.0,91429.0,0.0,5001.0,5782.0,6171.0,34040.0,267113.0,45089.0,47.0,9/30/2012,0
9553,10889,143319.0,85047.0,8104.0,29488.0,4886.0,0.0,850.0,1467.0,1428.0,28251.0,59323.0,42311.0,16.0,9/30/2012,0
9807,206510,2219376.0,1390269.0,480271.0,838344.0,70512.0,0.0,59159.0,42598.0,13548.0,89404.0,1621913.0,254063.0,245.0,9/30/2012,0
9955,13823,112361.0,60555.0,9090.0,26667.0,13168.0,0.0,1448.0,2452.0,1199.0,40738.0,55186.0,36829.0,26.0,9/30/2012,0
10250,30085,369342.0,248336.0,53925.0,141582.0,44146.0,245.0,8926.0,8814.0,796.0,36216.0,302128.0,62875.0,89.0,9/30/2012,0
10849,27300,256116.0,156458.0,35424.0,105302.0,12894.0,0.0,2308.0,6007.0,717.0,17645.0,210200.0,36072.0,59.0,9/30/2012,0
10858,37675,414481.0,263543.0,36382.0,95964.0,43931.0,0.0,2557.0,9863.0,2978.0,6883.0,306570.0,115061.0,118.0,9/30/2012,0
11145,18265,181577.0,136982.0,74312.0,47370.0,4549.0,0.0,1729.0,4308.0,1160.0,67521.0,80822.0,18384.0,54.0,9/30/2012,0
11275,133230,1346260.0,1137525.0,570154.0,392406.0,168401.0,0.0,17117.0,23906.0,6940.0,81137.0,1028209.0,21921.0,416.0,9/30/2012,0
11640,36834,348141.0,217177.0,32239.0,79629.0,45698.0,0.0,3040.0,6512.0,3150.0,22906.0,242012.0,104898.0,57.0,9/30/2012,0
11837,12530,90180.0,30054.0,4881.0,23399.0,820.0,103.0,1200.0,1691.0,599.0,26130.0,40782.0,53775.0,16.0,9/30/2012,0
12030,40499,305531.0,248665.0,46419.0,147560.0,34505.0,0.0,9791.0,6447.0,3058.0,72716.0,189577.0,11743.0,87.0,9/30/2012,0
12142,21417,194868.0,103540.0,25115.0,45429.0,17495.0,430.0,1703.0,4747.0,1031.0,84411.0,85912.0,66744.0,69.0,9/30/2012,0
12179,6794,39231.0,29881.0,21387.0,6139.0,1464.0,0.0,405.0,1267.0,191.0,5617.0,24522.0,1459.0,11.0,9/30/2012,0
12245,14008,120583.0,82874.0,36321.0,36178.0,4924.0,48.0,1452.0,2698.0,662.0,25754.0,75221.0,34218.0,41.0,9/30/2012,0
12311,4632783,,,,,,,,,,,,,,9/30/2012,0
12647,10190,107602.0,68570.0,18104.0,27915.0,12636.0,0.0,1009.0,2007.0,627.0,18789.0,75728.0,0.0,25.0,9/30/2012,0
12656,1511,17850.0,12350.0,6696.0,2487.0,1007.0,0.0,245.0,517.0,103.0,5217.0,11049.0,0.0,9.0,9/30/2012,0
12937,29327,212139.0,155958.0,51939.0,90810.0,11201.0,0.0,2091.0,3931.0,1048.0,48753.0,127893.0,0.0,37.0,9/30/2012,0
12946,83396,757561.0,537657.0,186916.0,280039.0,39349.0,4.0,13006.0,12474.0,9014.0,61361.0,594088.0,159783.0,168.0,9/30/2012,0
12955,13479,125377.0,101042.0,21108.0,59689.0,14582.0,0.0,1179.0,4330.0,1780.0,40717.0,67098.0,5.0,60.0,9/30/2012,0
13103,188143,1363434.0,1003063.0,383641.0,343196.0,94703.0,0.0,10370.0,33834.0,7383.0,114009.0,921934.0,275989.0,333.0,9/30/2012,0
13251,3629,43730.0,18620.0,3191.0,6950.0,3610.0,0.0,561.0,799.0,230.0,9262.0,30657.0,4312.0,9.0,9/30/2012,0
13457,6237,23608.0,11433.0,120.0,4544.0,947.0,0.0,168.0,388.0,254.0,5773.0,11404.0,6209.0,5.0,9/30/2012,0
14052,6845,58463.0,34143.0,13023.0,15090.0,1620.0,0.0,633.0,1350.0,232.0,17071.0,33421.0,11147.0,19.0,9/30/2012,0
14155,14669,122843.0,101194.0,23653.0,45347.0,5709.0,0.0,1704.0,3660.0,1279.0,32814.0,69701.0,6237.0,44.0,9/30/2012,0
14650,3114,26446.0,15208.0,3671.0,2912.0,2885.0,0.0,349.0,949.0,297.0,10984.0,11884.0,24.0,13.0,9/30/2012,0
14753,3893,43635.0,14759.0,1930.0,2642.0,2073.0,0.0,410.0,824.0,194.0,11443.0,27861.0,6870.0,11.0,9/30/2012,0
14865,29394,277023.0,222439.0,14136.0,129466.0,22733.0,564.0,2432.0,7440.0,2248.0,31243.0,214582.0,13154.0,103.0,9/30/2012,0
14977,7919,49028.0,27432.0,9271.0,5656.0,1442.0,0.0,324.0,1000.0,153.0,7421.0,28553.0,7717.0,15.0,9/30/2012,0
