,Total equity capital,Total assets,Total loans,1-4 family residential loans,Other real estate loans,Commercial and industrial loans,Credit cards,Allowance for loan losses,Total noninterest expense,Net Income before,Total transaction deposits,Total nontransaction deposits,Available-for-sale Fair Value,Number of full-time employees,AsOfDate,Target
2994,18086,954106.0,620184.0,117522.0,422975.0,76788.0,0.0,32197.0,17792.0,-14911.0,219272.0,599398.0,136902.0,210.0,6/30/2011,1
4392,20870,1994430.0,1238766.0,303002.0,662466.0,167556.0,0.0,96561.0,46452.0,-68097.0,91169.0,1602423.0,498214.0,476.0,6/30/2011,1
4744,6973,538091.0,319091.0,43167.0,225784.0,43103.0,0.0,21590.0,11448.0,-10899.0,26283.0,498007.0,53132.0,107.0,6/30/2011,1
19554,2561,180340.0,140600.0,12026.0,125246.0,1879.0,0.0,3770.0,2859.0,-4396.0,4925.0,172296.0,14854.0,21.0,6/30/2011,1
20408,16459,985096.0,882461.0,227574.0,604280.0,59736.0,0.0,59633.0,17145.0,-32744.0,60340.0,841505.0,12545.0,201.0,6/30/2011,1
22528,-319,548570.0,483527.0,22862.0,312994.0,77782.0,2679.0,30000.0,12591.0,-25323.0,121066.0,394666.0,17317.0,152.0,6/30/2011,1
22637,2135,110723.0,73047.0,15958.0,49680.0,2191.0,0.0,5170.0,2504.0,-1783.0,23382.0,80639.0,15363.0,29.0,6/30/2011,1
25155,14123,296841.0,188876.0,36319.0,146637.0,4557.0,0.0,6224.0,9184.0,-7103.0,62038.0,218057.0,18202.0,80.0,6/30/2011,1
27935,9823,896864.0,743826.0,88174.0,478137.0,175817.0,0.0,24761.0,19356.0,-13120.0,22018.0,808512.0,76456.0,121.0,6/30/2011,1
33513,6622,239916.0,207613.0,7758.0,181963.0,16225.0,41.0,14420.0,7220.0,-3723.0,39426.0,169349.0,0.0,68.0,6/30/2011,1
33983,11316,288765.0,239877.0,54109.0,155895.0,24650.0,0.0,13789.0,7100.0,-4768.0,33353.0,219726.0,9562.0,73.0,6/30/2011,1
34130,721,46818.0,37034.0,11052.0,17602.0,1731.0,6648.0,920.0,3246.0,-739.0,4564.0,41206.0,2565.0,29.0,6/30/2011,1
34522,5850,665806.0,573199.0,172157.0,335375.0,60772.0,0.0,31127.0,13738.0,-15718.0,22435.0,612767.0,27476.0,63.0,6/30/2011,1
34870,1287,225035.0,159255.0,17222.0,128125.0,13055.0,0.0,6649.0,5030.0,-5931.0,29840.0,177781.0,35911.0,67.0,6/30/2011,1
35244,-171,266482.0,232843.0,59753.0,158285.0,10767.0,0.0,11583.0,6114.0,-8945.0,48415.0,195947.0,19512.0,53.0,6/30/2011,1
57212,3144,141016.0,110559.0,27834.0,55023.0,15045.0,0.0,6157.0,3469.0,-3191.0,17122.0,120093.0,9527.0,28.0,6/30/2011,1
57239,4686,164599.0,114331.0,33842.0,53208.0,15642.0,0.0,6132.0,2958.0,-1826.0,42122.0,117551.0,23233.0,32.0,6/30/2011,1
57442,1434,73066.0,58214.0,5570.0,49233.0,3241.0,0.0,3417.0,1767.0,-1221.0,10591.0,56880.0,5458.0,17.0,6/30/2011,1
57835,1550,62518.0,50483.0,16559.0,17532.0,13127.0,0.0,2606.0,1172.0,-1721.0,8462.0,51887.0,3176.0,16.0,6/30/2011,1
