,Total equity capital,Total assets,Total loans,1-4 family residential loans,Other real estate loans,Commercial and industrial loans,Credit cards,Allowance for loan losses,Total noninterest expense,Net Income before,Total transaction deposits,Total nontransaction deposits,Available-for-sale Fair Value,Number of full-time employees,AsOfDate,Target
513,2716,142729.0,112660.0,32739.0,44591.0,29825.0,373.0,3263.0,1263.0,-3496.0,8753.0,122878.0,1414.0,34.0,3/31/2011,1
10086,3210,186677.0,155814.0,53754.0,91570.0,7946.0,40.0,6875.0,1792.0,-197.0,29480.0,152961.0,4054.0,34.0,3/31/2011,1
14273,-1687,228328.0,156354.0,40208.0,91382.0,9608.0,0.0,10149.0,2158.0,-4947.0,46123.0,158912.0,6911.0,65.0,3/31/2011,1
19237,3309,339929.0,227541.0,70368.0,137632.0,10080.0,0.0,8594.0,3037.0,-2410.0,81730.0,242673.0,48273.0,83.0,3/31/2011,1
19794,-3228,757574.0,343025.0,46038.0,229370.0,5503.0,0.0,10762.0,5473.0,-5700.0,36421.0,575260.0,228343.0,76.0,3/31/2011,1
19797,16527,849409.0,552842.0,117669.0,331170.0,64629.0,964.0,30450.0,5973.0,-1183.0,156158.0,568325.0,138245.0,177.0,3/31/2011,1
21495,852,314019.0,227103.0,69807.0,136762.0,16396.0,796.0,1005.0,2855.0,-1776.0,28057.0,261948.0,23617.0,64.0,3/31/2011,1
23626,3772,173478.0,129173.0,34729.0,86605.0,6666.0,0.0,2525.0,1994.0,-435.0,34952.0,128351.0,5474.0,57.0,3/31/2011,1
24099,361,21454.0,16371.0,3007.0,9100.0,3094.0,0.0,442.0,950.0,-534.0,9638.0,11342.0,605.0,13.0,3/31/2011,1
26297,-439,342079.0,246257.0,45404.0,179065.0,20681.0,0.0,12591.0,3428.0,-5904.0,19103.0,289681.0,35488.0,70.0,3/31/2011,1
27583,1528,98624.0,73391.0,14204.0,52014.0,6160.0,0.0,3916.0,1418.0,-525.0,12830.0,79811.0,4640.0,29.0,3/31/2011,1
34234,903,451683.0,356175.0,65922.0,248200.0,35077.0,776.0,17359.0,4556.0,-7755.0,33949.0,337545.0,32695.0,78.0,3/31/2011,1
35418,2293,135064.0,85783.0,6717.0,63443.0,15292.0,132.0,3955.0,1943.0,-1126.0,3838.0,124735.0,10734.0,31.0,3/31/2011,1
57213,9585,741855.0,563868.0,85917.0,435104.0,37615.0,0.0,17238.0,5330.0,-2524.0,24713.0,682930.0,25283.0,145.0,3/31/2011,1
57593,1052,103716.0,59715.0,21130.0,34089.0,2800.0,0.0,1711.0,921.0,-1711.0,8822.0,80732.0,16956.0,20.0,3/31/2011,1
57625,-6373,66282.0,46081.0,15068.0,29485.0,964.0,0.0,6326.0,956.0,-460.0,10077.0,55362.0,0.0,20.0,3/31/2011,1
57647,5768,730981.0,506712.0,159558.0,300562.0,29936.0,0.0,14896.0,5780.0,-2385.0,33505.0,668725.0,61617.0,152.0,3/31/2011,1
57705,-49,103055.0,73472.0,17248.0,50925.0,3124.0,0.0,1889.0,920.0,-501.0,11490.0,87532.0,10092.0,21.0,3/31/2011,1
58539,-8381,291196.0,255247.0,22670.0,218446.0,9553.0,0.0,16989.0,2397.0,-746.0,51375.0,243394.0,3850.0,62.0,3/31/2011,1
37,17097,86832.0,44124.0,24555.0,5592.0,3084.0,0.0,1014.0,568.0,119.0,16100.0,53359.0,27514.0,25.0,6/30/2011,0
242,4265,34981.0,22009.0,7611.0,7055.0,1400.0,0.0,171.0,213.0,127.0,11096.0,15491.0,9965.0,13.0,6/30/2011,0
279,23483,150930.0,75146.0,48787.0,18240.0,2212.0,0.0,444.0,1127.0,285.0,19665.0,85121.0,14726.0,40.0,6/30/2011,0
354,991,10656.0,4004.0,1151.0,1150.0,442.0,0.0,189.0,90.0,0.0,2427.0,7224.0,5825.0,4.0,6/30/2011,0
457,3395,36133.0,31460.0,7603.0,8087.0,5922.0,0.0,415.0,243.0,211.0,5332.0,24776.0,0.0,9.0,6/30/2011,0
505,29575,405905.0,233331.0,134701.0,48146.0,17979.0,0.0,4641.0,2713.0,645.0,25287.0,302914.0,82843.0,108.0,6/30/2011,0
1155,18016,206613.0,138886.0,24405.0,56647.0,37558.0,471.0,2511.0,1524.0,466.0,77704.0,96212.0,26007.0,52.0,6/30/2011,0
1351,20963,156314.0,70743.0,12988.0,24218.0,19173.0,0.0,1186.0,645.0,757.0,23695.0,111049.0,4812.0,28.0,6/30/2011,0
1454,48346,504921.0,216497.0,90784.0,71732.0,24444.0,0.0,3565.0,3971.0,1899.0,211998.0,243535.0,217448.0,146.0,6/30/2011,0
1557,5390,59039.0,33112.0,2518.0,9161.0,1583.0,0.0,481.0,299.0,234.0,20113.0,31263.0,5145.0,13.0,6/30/2011,0
1669,43172,245562.0,82743.0,45438.0,10845.0,9921.0,0.0,2618.0,1265.0,628.0,92974.0,108517.0,49523.0,57.0,6/30/2011,0
1829,41586,411754.0,234328.0,121307.0,89163.0,21665.0,660.0,3803.0,2816.0,670.0,88003.0,253937.0,78505.0,94.0,6/30/2011,0
1856,20135,163771.0,38382.0,2193.0,8522.0,26598.0,0.0,628.0,369.0,3106.0,4479.0,84809.0,59079.0,8.0,6/30/2011,0
2040,20218,206380.0,146577.0,32020.0,96438.0,14625.0,85.0,3222.0,1484.0,291.0,43500.0,118733.0,44022.0,47.0,6/30/2011,0
2161,13605,128023.0,58538.0,29319.0,3011.0,13364.0,324.0,593.0,867.0,620.0,50245.0,62374.0,26570.0,31.0,6/30/2011,0
2376,405349,2526633.0,1611825.0,249757.0,1336008.0,25646.0,0.0,24330.0,8182.0,6737.0,32442.0,1317373.0,690792.0,183.0,6/30/2011,0
2554,1126,11127.0,4909.0,463.0,2051.0,807.0,0.0,80.0,62.0,30.0,4380.0,5590.0,510.0,4.0,6/30/2011,0
2732,74393,518391.0,373632.0,42197.0,295025.0,27963.0,0.0,5473.0,3241.0,540.0,124984.0,316597.0,76125.0,100.0,6/30/2011,0
2750,5239,57201.0,35431.0,2811.0,9802.0,2505.0,0.0,652.0,346.0,105.0,11969.0,34551.0,16585.0,11.0,6/30/2011,0
3252,18336,148228.0,74938.0,638.0,24388.0,9101.0,0.0,1517.0,842.0,874.0,51037.0,72316.0,62578.0,34.0,6/30/2011,0
3458,3269,34356.0,14397.0,2175.0,7027.0,3051.0,0.0,307.0,180.0,54.0,9455.0,17736.0,7196.0,11.0,6/30/2011,0
3720,27655,190989.0,110263.0,29411.0,56697.0,11360.0,0.0,1471.0,1430.0,624.0,66057.0,86380.0,44145.0,56.0,6/30/2011,0
3953,8473,118959.0,108325.0,13874.0,36696.0,39677.0,0.0,2768.0,1648.0,-126.0,33335.0,74453.0,4.0,37.0,6/30/2011,0
4156,19906,189039.0,129477.0,33114.0,67451.0,14489.0,0.0,2066.0,1643.0,286.0,57056.0,95488.0,32202.0,65.0,6/30/2011,0
4231,13988,128035.0,79138.0,14496.0,50069.0,5885.0,0.0,787.0,808.0,28.0,27314.0,86112.0,35877.0,33.0,6/30/2011,0
4437,25673,262118.0,153197.0,64291.0,62955.0,13175.0,0.0,3223.0,1654.0,359.0,59437.0,169088.0,78154.0,59.0,6/30/2011,0
4839,30292,312107.0,239228.0,29921.0,191881.0,9707.0,0.0,4466.0,2890.0,545.0,52624.0,204518.0,48216.0,87.0,6/30/2011,0
5005,23584,366819.0,234612.0,121900.0,109509.0,2886.0,0.0,1832.0,3493.0,-254.0,43214.0,240548.0,46720.0,94.0,6/30/2011,0
5069,130862,489104.0,385951.0,39483.0,346813.0,3367.0,0.0,20468.0,1246.0,5683.0,17545.0,336103.0,29807.0,27.0,6/30/2011,0
5135,37680,319009.0,229266.0,55643.0,107158.0,24847.0,514.0,3525.0,2083.0,673.0,67641.0,191907.0,24060.0,62.0,6/30/2011,0
5210,81646,960617.0,666565.0,343393.0,254974.0,34543.0,0.0,14335.0,6203.0,2233.0,85932.0,675644.0,191337.0,250.0,6/30/2011,0
5331,32186,406846.0,143705.0,16758.0,120735.0,3787.0,0.0,1936.0,2499.0,267.0,55179.0,170202.0,234481.0,74.0,6/30/2011,0
5461,47491,470719.0,355805.0,57961.0,229144.0,47619.0,0.0,4161.0,4258.0,1220.0,40043.0,364110.0,64542.0,133.0,6/30/2011,0
5751,25330,118182.0,49815.0,9958.0,9031.0,6898.0,0.0,1040.0,577.0,551.0,20936.0,68766.0,63075.0,18.0,6/30/2011,0
6039,8795,83709.0,55736.0,6726.0,33990.0,5194.0,487.0,1301.0,699.0,100.0,24503.0,50089.0,5366.0,24.0,6/30/2011,0
6141,4841,54941.0,23023.0,5813.0,9177.0,1655.0,0.0,428.0,300.0,36.0,29666.0,20340.0,0.0,11.0,6/30/2011,0
6329,34378,477280.0,362727.0,87847.0,136891.0,37260.0,1203.0,9997.0,5269.0,127.0,114295.0,326077.0,40463.0,181.0,6/30/2011,0
6972,86500,834616.0,520809.0,65790.0,354222.0,79667.0,0.0,17100.0,8655.0,4621.0,83475.0,621898.0,96779.0,240.0,6/30/2011,0
