,AsOfDate,Target,EQTA,EQTL,LLRTA,LLRGL,OEXTA,INCEMP,ROA,ROE,TDTL,TDTA,TATA
3731,9/30/2012,1,0.019948937128162612,0.03571283255540895,0.02056584761877962,0.036817233301751344,0.0350275282777699,-17.647940074906366,-0.005099793389100599,-0.2556423611111111,1.6845792717542727,0.9409941350211427,0.18240203299064137
19189,9/30/2012,1,0.017849371081009924,0.02259003372864759,0.037649170127825565,0.04764851485148515,0.03561277288529012,-145.3409090909091,-0.034360845292913444,-1.9250451535219748,1.180978674790556,0.9331427681032491,0.04582162449694541
27148,9/30/2012,1,0.004956038766836815,0.007822870894235069,0.013901194036563154,0.02194237199099873,0.0289132243484518,-78.53763440860214,-0.01642418654853725,-3.313974591651543,1.402892048640936,0.888776955768928,0.22603944143374333
27331,9/30/2012,1,0.01695627802690583,0.025828026610694083,0.03526718983557549,0.05371944928670533,0.04652466367713005,-82.88888888888889,-0.03484678624813154,-2.0550964187327825,1.4899498381301362,0.9781623692077728,0.010346599402092675
28144,9/30/2012,1,0.005495843863228085,0.00852440435429408,0.021374417684133604,0.03315308507875039,0.046006759431233446,-239.0,-0.043662272021435314,-7.944598337950138,1.5322203593945547,0.9878512925128642,0.13296592881283684
35009,9/30/2012,1,0.005526062525224302,0.006748449643892003,0.04233691241235248,0.051702006661792185,0.019633931620520052,-197.73684210526315,-0.03332490675323869,-6.030497592295345,1.209461911338587,0.9903848286077959,0.0
57928,9/30/2012,1,-0.04240492610046483,-0.07576887766812027,0.03660054110034441,0.06539763598806518,0.033124332656288884,-707.3888888888889,-0.10222300720129093,2.410639909125331,1.5625860683956851,0.8745193118231228,0.31015325824294926
58073,9/30/2012,1,0.017389931918129577,0.021935063524812684,0.05592183139514029,0.07053787961052593,0.029263008372133064,-192.74074074074073,-0.03733383073512637,-2.1468646864686467,1.1906739783545082,0.9439562095113745,0.007016234907562181
37,9/30/2012,0,0.22442529084963347,0.49626344086021507,0.01187711982883332,0.026263440860215054,0.021116230442869473,12.64,0.0038415249395202956,0.017117165917339257,1.6964247311827958,0.7671744125262889,0.4505889933016448
242,9/30/2012,0,0.14004513898808674,0.22784104113409248,0.004799588606690855,0.007808505693702068,0.018798388709539184,33.166666666666664,0.01137045396108905,0.08119135046919625,1.1983732279804786,0.7365940062280376,0.26117761334742734
279,9/30/2012,0,0.16590348013060444,0.32170846899249744,0.0037495686336970085,0.007270902235319856,0.0233402351941812,18.0,0.004897666640121048,0.029521180847233888,1.4592250376413964,0.7525151973666746,0.0652159486076823
354,9/30/2012,0,0.11002024291497976,0.27786298568507156,0.016902834008097167,0.04268916155419223,0.025708502024291497,9.25,0.0037449392712550606,0.03403863845446182,2.2466768916155417,0.8895748987854251,0.5243927125506073
457,9/30/2012,0,0.08694379391100703,0.10081466395112017,0.010904566744730679,0.012644263408010862,0.017857142857142856,73.88888888888889,0.016222677595628416,0.18658810325476993,0.9768047069472732,0.842408274785324,0.011270491803278689
505,9/30/2012,0,0.07567397431434171,0.12766299800476283,0.01029143159631645,0.017361781553710497,0.01981029047780284,19.796116504854368,0.004861962239316321,0.06424880262162844,1.361761440432516,0.8072025714272089,0.19917353795382686
1155,9/30/2012,0,0.09449860454298784,0.14780486695818904,0.012520350414760835,0.01958302703276216,0.02197360260485309,27.660377358490567,0.00710326381890069,0.07516792288365892,1.343453251585816,0.8589328630126366,0.13516551670672144
1351,9/30/2012,0,0.12227686680588679,0.2794312822974614,0.009137864989434924,0.02088216191793974,0.012004646162590978,90.03333333333333,0.016687879199772635,0.13647617603961396,1.9969926298252054,0.8738678067888344,0.034629975162801044
1454,9/30/2012,0,0.10500458139447522,0.2713459671632972,0.004473596958150064,0.011560376482505382,0.01953911661568062,49.71917808219178,0.011856093581311178,0.11291025042774926,2.3068585658211287,0.8927006381286351,0.45763965903318693
1557,9/30/2012,0,0.08878033084202366,0.17827772556390978,0.005601790232700999,0.011248825187969925,0.013616884351552559,44.0,0.008366120138655278,0.09423393739703459,1.759251644736842,0.8760878150092876,0.05483318951017244
1669,9/30/2012,0,0.1871973414800611,0.5749095446038678,0.011639149793623451,0.03574547723019339,0.016262309467321004,41.13725490196079,0.00852318892391693,0.04553050196401832,2.487598253275109,0.8099913874354058,0.28607527056452925
1829,9/30/2012,0,0.1110088356181241,0.1903202666779189,0.010501833575348871,0.018004979113042746,0.021299008146489135,22.091836734693878,0.005328443799069676,0.04800017736786094,1.4450103379889447,0.8428367502645763,0.20252762668898133
1856,9/30/2012,0,0.13361013041285394,0.24733656779872956,0.00850205346206499,0.015738841928008136,0.03281036097701563,-296.3333333333333,-0.024020102312846747,-0.17977755308392315,1.1000516847563313,0.5942431010879746,0.07450104474385763
2040,9/30/2012,0,0.11008766488855808,0.18229282571854083,0.02052578257453583,0.03398839378947909,0.02615990571889344,-7.333333333333333,-0.0018194599512053923,-0.016527373462296928,1.4151788006915795,0.8546344539552578,0.2595263201422487
2161,9/30/2012,0,0.11117574770398703,0.24153238546603475,0.004399328102617055,0.009557661927330173,0.019800612270126017,54.06060606060606,0.012972564190196406,0.11668519850873177,1.899478672985782,0.8743173769824245,0.3055169755891827
2376,9/30/2012,0,0.1562984306723504,0.21472777038283775,0.011897519690717197,0.016345192112831308,0.009912891590696625,127.19689119170984,0.008985731321911656,0.05749086080556057,0.6948894119824177,0.5058038109837563,0.16088701382651086
2554,9/30/2012,0,0.09499529337935363,0.25441176470588234,0.009413241292751805,0.025210084033613446,0.017022278004392846,28.75,0.009021022905553813,0.09496284062758051,2.3298319327731094,0.8699403828051459,0.23948854722309382
2732,9/30/2012,0,0.14730175226540598,0.23618947565441312,0.013005962635157143,0.020854276666334593,0.016304521774820623,19.33695652173913,0.003349393099007608,0.02273831130652624,1.3594645752012824,0.8478426632476123,0.1660218284786902
2750,9/30/2012,0,0.092149995729051,0.1411894042508638,0.014025796531989407,0.021489896345932364,0.01749380712394294,-12.7,-0.002169642094473392,-0.023544679273266592,1.2435347084074966,0.8116169812932433,0.2499871871529854
3177,9/30/2012,0,0.0990461094553807,0.1522561272757515,0.003144516790371875,0.004833828923601283,0.015300214506729437,24.423728813559322,0.004103153059093757,0.04142669592632699,1.2056748246952775,0.7843191784202433,0.07918999981017104
3252,9/30/2012,0,0.12492132683745542,0.2561602256160226,0.010402340380894659,0.021330752133075212,0.014143686333014755,63.416666666666664,0.01330450593253922,0.10650307893263669,1.7494443249444325,0.8531492575584513,0.4244912468822117
3458,9/30/2012,0,0.10305914750957855,0.23280816823314626,0.010446599616858237,0.02359862059638921,0.017780172413793104,12.818181818181818,0.004220545977011494,0.0409526575660761,1.7642842653323416,0.7810105363984674,0.210518438697318
