,Total equity capital,Total assets,Total loans,1-4 family residential loans,Other real estate loans,Commercial and industrial loans,Credit cards,Allowance for loan losses,Total noninterest expense,Net Income before,Total transaction deposits,Total nontransaction deposits,Available-for-sale Fair Value,Number of full-time employees,AsOfDate,Target
16431,1225,258840.0,118713.0,40258.0,64135.0,7831.0,485.0,4498.0,11335.0,-5414.0,60407.0,163701.0,27815.0,98.0,12/31/2012,1
22476,917,58422.0,41158.0,21319.0,18352.0,897.0,0.0,1611.0,3645.0,-1498.0,11340.0,42862.0,6957.0,23.0,12/31/2012,1
33997,34,91935.0,69802.0,7647.0,50826.0,10739.0,297.0,2143.0,4909.0,-6385.0,8432.0,83447.0,0.0,17.0,12/31/2012,1
57157,341,49626.0,35387.0,3203.0,25188.0,8195.0,0.0,432.0,2690.0,-1479.0,7804.0,41343.0,2193.0,11.0,12/31/2012,1
37,18478,85871.0,37708.0,18144.0,6560.0,3072.0,0.0,881.0,2324.0,498.0,18184.0,48744.0,39323.0,25.0,12/31/2012,0
242,4941,36979.0,22191.0,7654.0,7187.0,1590.0,0.0,168.0,937.0,474.0,12921.0,14798.0,8576.0,12.0,12/31/2012,0
279,25265,147382.0,77570.0,50891.0,17238.0,2159.0,0.0,617.0,4923.0,1034.0,23156.0,88431.0,9075.0,39.0,12/31/2012,0
354,1063,11203.0,3862.0,1016.0,276.0,510.0,0.0,173.0,350.0,33.0,3509.0,6599.0,5353.0,4.0,12/31/2012,0
457,3805,40715.0,35869.0,8419.0,10084.0,6520.0,0.0,450.0,1001.0,907.0,8107.0,25576.0,460.0,9.0,12/31/2012,0
505,31512,421160.0,255093.0,142844.0,57903.0,17379.0,0.0,4294.0,11480.0,2355.0,26115.0,314741.0,81374.0,106.0,12/31/2012,0
1155,19654,215586.0,129800.0,26579.0,52535.0,35931.0,506.0,2616.0,6113.0,2506.0,106034.0,81350.0,26232.0,51.0,12/31/2012,0
1351,19773,163382.0,70043.0,14934.0,25874.0,15806.0,0.0,1892.0,2598.0,3115.0,28283.0,114874.0,5584.0,30.0,12/31/2012,0
1454,65680,637046.0,236392.0,100025.0,76914.0,26131.0,0.0,2773.0,16621.0,9334.0,284656.0,284962.0,293560.0,146.0,12/31/2012,0
1557,6054,71074.0,33806.0,2687.0,8152.0,3465.0,0.0,408.0,1303.0,664.0,34023.0,28807.0,2581.0,13.0,12/31/2012,0
1669,44541,250172.0,81062.0,46417.0,11265.0,6158.0,0.0,2881.0,5513.0,2746.0,97463.0,107734.0,72552.0,51.0,12/31/2012,0
1829,44610,405289.0,232934.0,113043.0,102840.0,15094.0,748.0,3386.0,11794.0,2525.0,108940.0,232937.0,77696.0,98.0,12/31/2012,0
1856,14926,116772.0,63729.0,1133.0,28780.0,36471.0,0.0,860.0,3954.0,-2601.0,5094.0,66558.0,7773.0,8.0,12/31/2012,0
2040,21267,200588.0,118342.0,24273.0,73797.0,14766.0,3.0,4065.0,6411.0,7.0,40610.0,131714.0,45349.0,46.0,12/31/2012,0
2161,14718,136486.0,64668.0,32830.0,2857.0,16144.0,311.0,603.0,3751.0,2152.0,57958.0,62135.0,42480.0,34.0,12/31/2012,0
2376,414086,2779851.0,2088685.0,163421.0,1909819.0,10335.0,0.0,31909.0,36543.0,32905.0,48243.0,1326935.0,398777.0,192.0,12/31/2012,0
2554,1273,13235.0,5241.0,392.0,1827.0,1011.0,0.0,130.0,298.0,157.0,6578.0,5366.0,2888.0,4.0,12/31/2012,0
2732,79417,548627.0,323833.0,35769.0,252776.0,33351.0,0.0,6730.0,10471.0,3442.0,152148.0,315852.0,81421.0,90.0,12/31/2012,0
2750,5611,58495.0,38888.0,1876.0,10313.0,2167.0,0.0,819.0,1390.0,92.0,14625.0,31992.0,12736.0,10.0,12/31/2012,0
3177,104975,1037878.0,684548.0,579907.0,97795.0,5978.0,0.0,3532.0,21417.0,5642.0,75404.0,734414.0,102413.0,174.0,12/31/2012,0
3252,20445,167113.0,79723.0,528.0,26288.0,9968.0,0.0,1974.0,3383.0,2765.0,65077.0,71275.0,75450.0,36.0,12/31/2012,0
3458,3423,34114.0,14722.0,2967.0,6484.0,3040.0,0.0,364.0,779.0,223.0,10352.0,16305.0,8124.0,10.0,12/31/2012,0
3720,29560,204303.0,130633.0,33641.0,64032.0,15198.0,0.0,1545.0,6947.0,2002.0,86057.0,85892.0,36319.0,60.0,12/31/2012,0
3971,104838,680387.0,451071.0,151622.0,174082.0,32431.0,0.0,13832.0,67907.0,6417.0,37734.0,501568.0,84831.0,587.0,12/31/2012,0
4156,21505,210558.0,122772.0,34574.0,61448.0,15433.0,0.0,1722.0,6908.0,2061.0,79364.0,96180.0,51187.0,65.0,12/31/2012,0
4231,14834,121055.0,65666.0,12596.0,41165.0,5890.0,0.0,802.0,3075.0,32.0,30759.0,75136.0,34775.0,32.0,12/31/2012,0
