,AsOfDate,Target,EQTA,EQTL,LLRTA,LLRGL,OEXTA,INCEMP,ROA,ROE,TDTL,TDTA,TATA
2994,6/30/2011,1,0.01895596506048594,0.029162313119977298,0.03374572636583357,0.051915238058382676,0.01864782319784175,-71.0047619047619,-0.015628242564243385,-0.8244498507132588,1.3200437289578577,0.858049315275242,0.14348720163168452
4392,6/30/2011,1,0.010464142637244727,0.016847411052612036,0.048415336712745,0.07794934636565744,0.023290865059189845,-143.0609243697479,-0.034143589897865555,-3.2629132726401533,1.3671605452522915,0.8491609131431035,0.24980270052095085
4744,6/30/2011,1,0.01295877463105683,0.021852700326866002,0.04012332486512504,0.0676609493843449,0.02127521181361517,-101.85981308411215,-0.020254938291106896,-1.5630288254696687,1.6430736059619355,0.9743519218868184,0.09874166265557313
19554,6/30/2011,1,0.014200953754020184,0.01821479374110953,0.02090495730287235,0.026813655761024183,0.015853388044804257,-209.33333333333334,-0.02437617832982145,-1.7165169855525186,1.2604623044096728,0.9827048907618942,0.08236664078961961
20408,6/30/2011,1,0.01670801627455598,0.018651249177017454,0.06053521687226423,0.06757579088480964,0.017404395104639547,-162.90547263681592,-0.03323940001786628,-1.9894282763229845,1.02196584324973,0.9154894548348588,0.012734799451017971
22528,6/30/2011,1,-0.0005815119310206537,-0.0006597356507495962,0.054687642415735455,0.06204410508616892,0.02295240352188417,-166.59868421052633,-0.0461618389631223,79.38244514106583,1.0666043468100024,0.9401389066117359,0.03156753012377636
22637,6/30/2011,1,0.01928235325993696,0.029227757471217163,0.046693098994788795,0.07077634947362657,0.02261499417465206,-61.48275862068966,-0.016103248647525808,-0.8351288056206089,1.424028365299054,0.9394705707034672,0.13875165954679697
25155,6/30/2011,1,0.04757765942036309,0.07477392575022766,0.020967453956832107,0.03295283678180393,0.030939122291058177,-88.7875,-0.023928635195272892,-0.5029384691637754,1.482957072364938,0.94358596016049,0.06131902264175097
27935,6/30/2011,1,0.010952608199236451,0.013206045499888415,0.02760842223570129,0.03328869923880047,0.02158186748492525,-108.4297520661157,-0.014628750847397154,-1.3356408429196782,1.11656489555353,0.9260378385128626,0.08524815356620402
33513,6/30/2011,1,0.027601327131162572,0.03189588320577228,0.060104369862785306,0.06945615158973667,0.03009386618649861,-54.75,-0.015517931275946582,-0.5622168529145274,1.0055969520213088,0.8702004034745494,0.0
33983,6/30/2011,1,0.03918757467144564,0.047174176765592366,0.04775163194985542,0.057483627025517244,0.024587467317715096,-65.31506849315069,-0.016511696362093743,-0.4213503004595263,1.0550365395598578,0.8764185410281717,0.03311343133690025
34130,6/30/2011,1,0.0154000598060575,0.019468596424906844,0.019650561749754367,0.024842037047037857,0.06933230808663335,-25.482758620689655,-0.015784527318552694,-1.0249653259361997,1.2358913430901335,0.9776154470502798,0.05478662053056517
34522,6/30/2011,1,0.00878634316903122,0.010205879633425738,0.04675085535426235,0.05430400262387059,0.02063363802669246,-249.4920634920635,-0.023607477253133797,-2.686837606837607,1.1081701119506489,0.954034658744439,0.04126727605338492
34870,6/30/2011,1,0.005719110360610571,0.00808137892059904,0.029546514986557647,0.041750651470911435,0.02235207856555647,-88.5223880597015,-0.026355900193303264,-4.608391608391608,1.30370161062447,0.9226164818805963,0.15957962094785255
