,AsOfDate,Target,EQTA,EQTL,LLRTA,LLRGL,OEXTA,INCEMP,ROA,ROE,TDTL,TDTA,TATA
16431,12/31/2012,1,0.004732653376603307,0.010319004658293532,0.017377530520785042,0.03788970036979943,0.043791531447998765,-55.244897959183675,-0.02091639622933086,-4.419591836734694,1.887813466090487,0.8658167207541339,0.10746020707773142
22476,12/31/2012,1,0.015696141864366162,0.022279994168812867,0.02757522850980795,0.03914184362699839,0.062390880147889495,-65.1304347826087,-0.02564102564102564,-1.633587786259542,1.316925020652121,0.9277669371127315,0.11908185272671254
33997,12/31/2012,1,0.0003698265078588133,0.0004870920603994155,0.02330994724533638,0.030701126042233746,0.05339642138467395,-375.5882352941176,-0.06945124272583891,-187.7941176470588,1.316280335806997,0.9993908739870561,0.0
57157,12/31/2012,1,0.006871398057469874,0.009636307118433322,0.008705114254624592,0.012207872947692655,0.05420545681699109,-134.45454545454547,-0.02980292588562447,-4.3372434017595305,1.3888433605561363,0.9903478015556362,0.04419054527868456
37,12/31/2012,0,0.21518323997624345,0.4900286411371592,0.010259575409626067,0.023363742441922138,0.0270638515913405,19.92,0.0057993967695729644,0.026950968719558394,1.7749018775856582,0.7794016606304806,0.4579310826705174
242,12/31/2012,0,0.1336163768625436,0.22265783425713126,0.0045431190675788964,0.0075706367446262,0.025338705751913247,39.5,0.012818085940669029,0.09593199757134184,1.2491099995493669,0.7495876037751156,0.23191541144974173
279,12/31/2012,0,0.17142527581387143,0.3257058141033905,0.004186399967431573,0.007954105968802373,0.033402993581305725,26.512820512820515,0.007015782117219199,0.04092618246586186,1.4385329379914915,0.7571277360871749,0.061574683475594034
354,12/31/2012,0,0.0948852985807373,0.27524598653547383,0.015442292243149157,0.044795442775763854,0.03124163170579309,8.25,0.00294563956083192,0.031044214487300093,2.61729673744174,0.9022583236633045,0.4778184414888869
457,12/31/2012,0,0.09345450079823162,0.10608045944966406,0.01105243767653199,0.012545652234520059,0.02458553358713005,100.77777777777777,0.02227680216136559,0.2383705650459921,0.9390560093674203,0.8272872405747268,0.011298047402677145
505,12/31/2012,0,0.07482192041029538,0.12353141795345227,0.010195650109222147,0.016833076564233437,0.02725804919745465,22.21698113207547,0.005591699116725235,0.07473343488194974,1.336202875029891,0.8093266217114635,0.19321398043498908
1155,12/31/2012,0,0.09116547456699414,0.1514175654853621,0.012134368651025577,0.020154083204930662,0.02835527353353186,49.13725490196079,0.011624131437106305,0.1275058512262135,1.4436363636363636,0.8691844553913519,0.12167765995936657
1351,12/31/2012,0,0.12102312372231948,0.28229801693245576,0.011580223035585315,0.027011978356152648,0.015901384485439034,103.83333333333333,0.019065747756790832,0.15753805694634096,2.043844495524178,0.8762103536497289,0.03417757158071268
1454,12/31/2012,0,0.10310087497606138,0.27784358184710145,0.004352903871933895,0.011730515415073268,0.026090737560552926,63.93150684931507,0.014652003152048674,0.14211327649208283,2.409633151714102,0.8941552101418108,0.4608144466804595
1557,12/31/2012,0,0.08517882770070631,0.17908063657338935,0.005740495821256718,0.012068863515352305,0.018333005037003688,51.07692307692308,0.009342375552241326,0.1096795507102742,1.8585458202685914,0.8840082167881363,0.03631426400652841
1669,12/31/2012,0,0.1780415074428793,0.5494683082085318,0.011516076939065922,0.035540697244084776,0.022036838655005355,53.84313725490196,0.010976448203635898,0.06165106306549022,2.5313587130838124,0.8202236861039605,0.2900084741697712
1829,12/31/2012,0,0.11006960465248256,0.19151347592021775,0.008354532198011789,0.014536306421561472,0.02910022231049942,25.76530612244898,0.0062301222090903035,0.05660165882089218,1.4676990048683318,0.8435388081097686,0.19170517828019018
1856,12/31/2012,0,0.1278217380878978,0.23421048502251723,0.007364779227897099,0.013494641372059815,0.0338608570547734,-325.125,-0.02227417531600041,-0.17425968109339407,1.124323306500965,0.613606001438701,0.0665656150447025
