,Total equity capital,Total assets,Total loans,1-4 family residential loans,Other real estate loans,Commercial and industrial loans,Credit cards,Allowance for loan losses,Total noninterest expense,Net Income before,Total transaction deposits,Total nontransaction deposits,Available-for-sale Fair Value,Number of full-time employees,AsOfDate,Target
38129,-11084,717806.0,575922.0,88556.0,433969.0,39279.0,0.0,10187.0,28207.0,-68969.0,89722.0,356470.0,17149.0,191.0,12/31/2009,1
57060,22695,496552.0,354174.0,131878.0,101221.0,102662.0,0.0,9193.0,17366.0,-8796.0,40387.0,386086.0,6609.0,107.0,12/31/2009,1
57147,24,299225.0,291066.0,32857.0,116481.0,31542.0,0.0,14821.0,13993.0,-21299.0,27215.0,258339.0,4119.0,71.0,12/31/2009,1
57399,8889,363405.0,218160.0,41451.0,133059.0,39917.0,0.0,4995.0,11721.0,-8545.0,34107.0,309232.0,27188.0,59.0,12/31/2009,1
57586,1970,119578.0,100961.0,48646.0,35286.0,11989.0,0.0,4792.0,5129.0,-14115.0,26693.0,90404.0,10493.0,33.0,12/31/2009,1
58071,4766,216500.0,186319.0,7144.0,162609.0,16095.0,0.0,6846.0,9775.0,-10741.0,19951.0,189526.0,5002.0,37.0,12/31/2009,1
58104,2282,96535.0,66791.0,1828.0,58881.0,6082.0,0.0,1087.0,4590.0,-5192.0,2874.0,91093.0,1874.0,19.0,12/31/2009,1
58182,9020,336390.0,286570.0,17169.0,233737.0,35491.0,0.0,20821.0,13444.0,-32537.0,32183.0,287563.0,41915.0,62.0,12/31/2009,1
58352,888,51095.0,39594.0,6852.0,28354.0,2104.0,0.0,3411.0,3395.0,-4734.0,3983.0,46041.0,4087.0,11.0,12/31/2009,1
3735,74723,3066240.0,2543157.0,469239.0,1535510.0,345259.0,0.0,127055.0,35225.0,-25442.0,255197.0,2488288.0,476235.0,843.0,3/31/2010,1
10888,305,130165.0,87522.0,40119.0,19420.0,20395.0,0.0,3638.0,1809.0,-676.0,31526.0,93150.0,11905.0,43.0,3/31/2010,1
14246,1616,242871.0,161239.0,50781.0,50650.0,15511.0,0.0,8373.0,1977.0,-4455.0,49480.0,180710.0,34647.0,67.0,3/31/2010,1
15814,-3178,60449.0,55418.0,2214.0,2516.0,2077.0,0.0,4181.0,773.0,-13548.0,8165.0,55318.0,2873.0,10.0,3/31/2010,1
16476,-100,31996.0,25209.0,7658.0,6958.0,6029.0,0.0,1205.0,591.0,-615.0,5504.0,26465.0,1349.0,8.0,3/31/2010,1
17792,814,52204.0,34223.0,7472.0,20510.0,3655.0,0.0,1814.0,945.0,-687.0,11706.0,31929.0,3795.0,27.0,3/31/2010,1
18117,85461,3172915.0,2257976.0,488217.0,1488904.0,266446.0,0.0,142284.0,43966.0,-106386.0,228888.0,2191850.0,567619.0,409.0,3/31/2010,1
21521,5529,981913.0,373046.0,24613.0,330668.0,16590.0,0.0,15672.0,10180.0,-16056.0,34087.0,885519.0,7092.0,152.0,3/31/2010,1
22710,16275,3250734.0,2785720.0,359521.0,2149713.0,199136.0,1590.0,116374.0,24298.0,-45063.0,117930.0,2728956.0,79485.0,706.0,3/31/2010,1
22853,28386,1059194.0,890409.0,29551.0,824218.0,38710.0,0.0,20866.0,4348.0,-2553.0,36831.0,986590.0,71392.0,55.0,3/31/2010,1
23876,13749,266816.0,181964.0,0.0,130263.0,80122.0,0.0,8368.0,2801.0,-3069.0,27214.0,195950.0,16088.0,82.0,3/31/2010,1
24067,-4433,3393818.0,1873664.0,804683.0,629000.0,74009.0,0.0,85000.0,24974.0,-18821.0,37155.0,2687320.0,929974.0,817.0,3/31/2010,1
26563,-2089,630179.0,409288.0,35841.0,202851.0,43654.0,0.0,32067.0,5432.0,-3770.0,33545.0,546595.0,113823.0,138.0,3/31/2010,1
26619,-271,245534.0,190089.0,99944.0,80597.0,3853.0,0.0,1745.0,3011.0,-5952.0,27673.0,199747.0,3473.0,58.0,3/31/2010,1
27150,100974,2453138.0,1367620.0,243643.0,914249.0,169585.0,4233.0,32508.0,14738.0,-3709.0,134488.0,1726862.0,733351.0,441.0,3/31/2010,1
30005,-103590,1599122.0,1245593.0,515993.0,512315.0,151943.0,0.0,124361.0,13258.0,-88566.0,67669.0,1350775.0,46155.0,349.0,3/31/2010,1
30600,2865,194618.0,159588.0,77024.0,80110.0,1483.0,694.0,4524.0,2206.0,-915.0,16537.0,146090.0,16173.0,46.0,3/31/2010,1
31027,376622,10797345.0,8443396.0,1588992.0,5966577.0,532231.0,50875.0,280564.0,56602.0,-89307.0,604689.0,7815668.0,1352251.0,1452.0,3/31/2010,1
31813,-1134,17028.0,9066.0,7529.0,3314.0,2237.0,0.0,1751.0,182.0,-619.0,671.0,17421.0,0.0,6.0,3/31/2010,1
32185,219797,5681177.0,5273148.0,3043127.0,1821556.0,194608.0,81603.0,94692.0,37174.0,-118495.0,774484.0,3445624.0,266946.0,1170.0,3/31/2010,1
32955,10241,520887.0,423171.0,43684.0,310790.0,65874.0,225.0,19700.0,3179.0,-4669.0,47299.0,394063.0,30103.0,70.0,3/31/2010,1
33493,17324,611504.0,509543.0,32680.0,439353.0,37029.0,0.0,22337.0,5297.0,-1663.0,42110.0,415096.0,47887.0,65.0,3/31/2010,1
34152,4877,252520.0,182453.0,48648.0,121062.0,7946.0,0.0,8736.0,2052.0,-1423.0,9673.0,222184.0,27023.0,32.0,3/31/2010,1
34242,8064,590024.0,494789.0,155797.0,292192.0,51708.0,2212.0,19280.0,5259.0,-17409.0,70585.0,450553.0,59393.0,91.0,3/31/2010,1
34255,-2203,100659.0,62133.0,18615.0,36812.0,5848.0,0.0,4015.0,928.0,-4880.0,8233.0,94230.0,9105.0,10.0,3/31/2010,1
34658,422,73490.0,61039.0,12797.0,43081.0,3607.0,0.0,2531.0,1045.0,-1588.0,7037.0,65735.0,586.0,20.0,3/31/2010,1
34785,4672,360662.0,276184.0,12016.0,191067.0,72255.0,0.0,14647.0,3352.0,-4665.0,12364.0,341579.0,19132.0,83.0,3/31/2010,1
34821,4475,447239.0,421404.0,28133.0,343254.0,49545.0,0.0,31534.0,4369.0,-9519.0,17419.0,421580.0,21989.0,66.0,3/31/2010,1
34878,429,49173.0,39804.0,5631.0,27934.0,5211.0,0.0,3227.0,475.0,-173.0,2458.0,46164.0,5629.0,10.0,3/31/2010,1
35106,-15832,640894.0,554817.0,87787.0,334087.0,35062.0,0.0,24638.0,7054.0,-25222.0,28903.0,530994.0,45599.0,124.0,3/31/2010,1
