,AsOfDate,Target,EQTA,EQTL,LLRTA,LLRGL,OEXTA,INCEMP,ROA,ROE,TDTL,TDTA,TATA
10716,6/30/2019,1,0.0882828559682061,0.11010083746368142,0.004220912703850898,0.0052640574260810116,0.027600383719336714,53.5,0.011730848293819377,0.1328779882024216,1.049495812681593,0.8415239139372345,0.0
37,6/30/2019,0,0.2145857502900348,0.6418571257628336,0.01328159379125495,0.03972717482350126,0.01706871491245616,14.454545454545455,0.004240508861063328,0.0197613721103654,2.3413505643971124,0.7827605979384192,0.5853769118960942
242,6/30/2019,0,0.11812146430408153,0.211396059072083,0.004348029360886437,0.0077814500271932395,0.011337603441021086,30.363636363636363,0.007807751648043387,0.06609934692262022,1.4258042923482408,0.7966945626256488,0.2914348496890925
279,6/30/2019,0,0.11608884197967097,0.1789695851339162,0.003942668777581473,0.006078256819615496,0.014638735286694354,5.508196721311475,0.0012849046646628273,0.011068287380175906,1.2098207179535552,0.7847516998217959,0.05081874431161997
354,6/30/2019,0,0.09981329886543157,0.17065684468999387,0.010986643688065489,0.01878453038674033,0.05170185264971995,3.0,0.003231365790607497,0.03237410071942446,1.5269490484960098,0.8930776963952319,0.08250753985351142
457,6/30/2019,0,0.08123758792850647,0.09343978822876417,0.009131572597858163,0.010503170164165404,0.012212550344289983,40.38461538461539,0.009744056125763284,0.11994516792323509,0.9074995196720962,0.7889901445832328,0.004621466619647729
505,6/30/2019,0,0.09101061875434263,0.11177307626151273,0.010842479382737158,0.013315998632881871,0.014747663619398233,17.30708661417323,0.003997948277680971,0.043928371572467824,1.0046285437287923,0.8180133216438515,0.1207715057968431
1155,6/30/2019,0,0.09299359590013181,0.12685514241765236,0.014468521924418401,0.019736911897310774,0.014674604069539115,38.57627118644068,0.008849867213108379,0.09516641578859342,1.22598525433618,0.8987320115561535,0.09607316304986022
1351,6/30/2019,0,0.1585745166326408,0.269185685017379,0.0065089467995676714,0.011049160610354,0.0109343100756575,29.97142857142857,0.006298787078179416,0.039721307130145024,1.4212645376986353,0.8372523117569353,0.059763420199351505
1454,6/30/2019,0,0.12666889027827105,0.34912925185259625,0.004591262826840523,0.012654600133245495,0.013356523711846943,39.60144927536232,0.0073797798084363105,0.058260396789015276,2.3951361672193747,0.8689883152361056,0.5374788835669251
