,AsOfDate,Target,EQTA,EQTL,LLRTA,LLRGL,OEXTA,INCEMP,ROA,ROE,TDTL,TDTA,TATA
513,3/31/2011,1,0.01902906907496024,0.024107935380791763,0.022861506771574103,0.02896325226344754,0.00884893749693475,-102.82352941176471,-0.024493971092069588,-1.2871870397643594,1.1683916208059648,0.9222442530950262,0.00990688647717002
10086,3/31/2011,1,0.017195476678969555,0.020601486387616004,0.03682831843237249,0.04412312115727727,0.009599468600845311,-5.794117647058823,-0.0010552987245348918,-0.06137071651090343,1.1708896504807014,0.9773083989993411,0.02171665497088554
14273,3/31/2011,1,-0.007388493745839319,-0.01078961842997301,0.04444921341228408,0.06491039564066158,0.009451315651168494,-76.1076923076923,-0.021666199502470132,2.932424422050978,1.311351164664799,0.8979844784695701,0.030267860271188815
19237,3/31/2011,1,0.00973438570995708,0.01454243411077564,0.025281750012502612,0.0377690174517999,0.00893421861624045,-29.03614457831325,-0.007089715793592191,-0.7283167119975823,1.4256903151519946,0.9543257562608662,0.1420090665992016
19794,3/31/2011,1,-0.004260969885450134,-0.009410392828511041,0.014205872957625262,0.031373806573864876,0.007224376760554084,-75.0,-0.007524017455720497,1.7657992565055762,1.7831965600174915,0.8074207932162403,0.3014134592792255
19797,3/31/2011,1,0.01945705778959253,0.029894617268586686,0.03584845463139665,0.05507902800438461,0.007031948095675935,-6.68361581920904,-0.001392733064989893,-0.07157983905124947,1.3104702609425478,0.8529259755900868,0.16275433860484173
21495,3/31/2011,1,0.002713211620952872,0.003751601696146682,0.0032004432852789162,0.004425304817637812,0.009091806546737618,-27.75,-0.005655708731000354,-2.084507042253521,1.2769756454119936,0.9235269203455841,0.0752088249437136
23626,3/31/2011,1,0.021743391092818688,0.029201148846895248,0.014555159732069773,0.01954742864220851,0.011494252873563218,-7.631578947368421,-0.0025075225677031092,-0.11532343584305409,1.2642193027954758,0.9413470295945308,0.03155443341518809
24099,3/31/2011,1,0.01682669898387247,0.022051188076476696,0.020602218700475437,0.02699896157840083,0.0442807867996644,-41.07692307692308,-0.024890463316863988,-1.479224376731302,1.2815344206218313,0.9779062179546938,0.028199869488207328
26297,3/31/2011,1,-0.0012833292894331425,-0.0017826904412869481,0.036807287205587014,0.0511295110392801,0.010021077002680668,-84.34285714285714,-0.017259171127137297,13.44874715261959,1.2539095335361026,0.9026686817957256,0.10374211804875481
27583,3/31/2011,1,0.015493186242699545,0.02081999155209767,0.039706359506813754,0.053358041176711044,0.014377839065541857,-18.103448275862068,-0.005323247890979883,-0.343586387434555,1.2622937417394504,0.9393352530824141,0.04704737183646982
34234,3/31/2011,1,0.001999189697199142,0.0025352705832806907,0.038431820546710856,0.048737278023443534,0.01008672011122845,-99.42307692307692,-0.01716912082146107,-8.588039867109634,1.0430097564399523,0.8224661986393113,0.07238483626791356
35418,3/31/2011,1,0.016977136764792986,0.02673023792592938,0.029282414262867974,0.04610470606064138,0.014385772670733874,-36.32258064516129,-0.008336788485458746,-0.49105974705625816,1.4988167818798597,0.9519413019013209,0.0794734348160872
57213,3/31/2011,1,0.012920314616737772,0.01699865926067803,0.02323634672543826,0.03057098469854647,0.007184692426417561,-17.406896551724138,-0.003402282117125314,-0.2633281168492436,1.2549798889101704,0.9538831712396627,0.034080783980697034
57593,3/31/2011,1,0.010143083034440201,0.01761701415054844,0.016496972501831925,0.028652767311395797,0.00888001851209071,-85.55,-0.016496972501831925,-1.626425855513308,1.49969019509336,0.8634540475914999,0.16348490107601527
57625,3/31/2011,1,-0.09614978425515223,-0.13829995008788873,0.09544069279744123,0.13728000694429374,0.01442322199088742,-23.0,-0.006940044054192692,0.07217950729640672,1.4200863696534363,0.9872816149180773,0.0
57647,3/31/2011,1,0.007890765970661344,0.011383192030186774,0.020378094642678812,0.029397369709026035,0.00790718226602333,-15.69078947368421,-0.003262738703194748,-0.4134882108183079,1.385856265492035,0.9606679243372946,0.0842935726099584
57705,3/31/2011,1,-0.0004754742613167726,-0.0006669207317073171,0.018330017951579253,0.025710474738675958,0.00892727184513124,-23.857142857142858,-0.004861481733055165,10.224489795918368,1.3477515243902438,0.9608655572267236,0.09792829071854835
58539,3/31/2011,1,-0.028781301940960728,-0.03283486191806368,0.05834214755697194,0.06655905848060897,0.00823156911496037,-12.03225806451613,-0.002561848377038146,0.08901085789285289,1.1548382547101435,1.0122700861275566,0.013221335457904642
37,6/30/2011,0,0.1968974571586512,0.3874762034267066,0.011677722498618022,0.022980690780527602,0.0065413672378846505,4.76,0.0013704625023032984,0.006960285430192431,1.574177318466141,0.7999239911553344,0.31686475032246175
242,6/30/2011,0,0.12192332980760985,0.1937843609432505,0.004888367971184357,0.007769548820936889,0.006089019753580515,9.76923076923077,0.0036305422943883822,0.02977725674091442,1.2080058158026261,0.7600411652039679,0.2848689288470884
279,6/30/2011,0,0.15558868349566024,0.3124983365714742,0.002941761081295965,0.005908498123652623,0.007467037699595839,7.125,0.0018882925859670045,0.012136439126176382,1.3944321720384318,0.6942688663618897,0.09756840919631617
354,6/30/2011,0,0.09299924924924925,0.2475024975024975,0.017736486486486486,0.0472027972027972,0.008445945945945946,0.0,0.0,0.0,2.4103396603396603,0.9056869369369369,0.5466403903903904
457,6/30/2011,0,0.09395843135084272,0.107914812460267,0.011485345805773116,0.013191354100445009,0.006725154291091246,23.444444444444443,0.005839537265103922,0.06215022091310751,0.9570247933884297,0.8332549193258241,0.0
505,6/30/2011,0,0.07286187654746801,0.12675126751267513,0.011433709858218056,0.01989019890198902,0.006683829960212365,5.972222222222222,0.001589041770857713,0.021808960270498733,1.406589780183516,0.8085660437787167,0.20409455414444266
1155,6/30/2011,0,0.08719683659789074,0.12971789813228116,0.01215315590016117,0.01807957605518195,0.0073761089573260155,8.961538461538462,0.002255424392463204,0.025865896980461812,1.252221246201921,0.8417476151065034,0.125873008958778
1351,6/30/2011,0,0.134108269252914,0.296326138275165,0.007587292245096408,0.016764909602363483,0.0041263098634799185,27.035714285714285,0.004842816382409765,0.03611124361971092,1.904697284536986,0.8620085213096715,0.030784190795450184
