,1-4 family residential loans,Allowance for loan losses,AsOfDate,Available-for-sale Fair Value,Commercial and industrial loans,Credit cards,Net Income before,Number of full-time employees,Other real estate loans,Target,Total assets,Total equity capital,Total loans,Total noninterest expense,Total nontransaction deposits,Total transaction deposits
2465881,96767.0,3729.0,,14660.0,50151.0,1638.0,3257.0,109.0,90353.0,,385462.0,36412,308526.0,7719.0,300879.0,30138.0
2467670,1899.0,906.0,,3799.0,0.0,116.0,3647.0,41.0,65590.0,,162085.0,55386,67609.0,6484.0,49972.0,56272.0
2468097,33111.0,2219.0,,46991.0,7556.0,0.0,-916.0,59.0,88537.0,,259198.0,23532,137709.0,7393.0,159580.0,66068.0
2471239,56545.0,4604.0,,13970.0,73529.0,0.0,7027.0,90.0,120515.0,,452264.0,50732,252305.0,18678.0,316720.0,79266.0
2472508,42157.0,3629.0,,31988.0,44091.0,0.0,2255.0,110.0,108150.0,,318918.0,35801,246523.0,8210.0,188929.0,90355.0
2473354,22010.0,6623.0,,12009.0,17982.0,51.0,-4725.0,38.0,63527.0,,147868.0,4472,105905.0,6106.0,100366.0,37083.0
2479477,0.0,0.0,,4042.0,0.0,0.0,584.0,16.0,0.0,,5717.0,5521,0.0,1268.0,0.0,0.0
2482824,75930.0,3103.0,,26120.0,44611.0,0.0,6845.0,172.0,103817.0,,379334.0,34456,306057.0,10999.0,316632.0,25756.0
2483120,44425.0,4175.0,,2512.0,67086.0,0.0,1855.0,65.0,55006.0,,228957.0,30121,178500.0,5202.0,129719.0,58821.0
2483438,2067.0,1807.0,,8534.0,40639.0,0.0,23.0,24.0,41623.0,,132917.0,15126,87929.0,4463.0,60911.0,48901.0
2485544,19148.0,2676.0,,9779.0,8556.0,339.0,30.0,42.0,64291.0,,148099.0,17062,97437.0,3881.0,98569.0,27107.0
2488956,19070.0,6398.0,,28042.0,20411.0,764.0,-2218.0,51.0,71864.0,,183849.0,11436,113488.0,4899.0,117512.0,49710.0
2489805,3814376.0,1613.0,,2070861.0,129495.0,0.0,15765.0,566.0,74841.0,,12777114.0,1258694,4390736.0,97932.0,10990304.0,139670.0
