,1-4 family residential loans,Allowance for loan losses,AsOfDate,Available-for-sale Fair Value,Commercial and industrial loans,Credit cards,Net Income before,Number of full-time employees,Other real estate loans,Target,Total assets,Total equity capital,Total loans,Total noninterest expense,Total nontransaction deposits,Total transaction deposits
10216,78674.0,12053.0,9/30/2011,27312.0,37271.0,173.0,-10427.0,112.0,194499.0,0.0,419723.0,4765,327000.0,19479.0,355565.0,28555.0
14194,20526.0,2297.0,9/30/2011,9320.0,9932.0,0.0,-2294.0,33.0,22037.0,0.0,91580.0,1507,55314.0,4475.0,52333.0,29634.0
19397,14126.0,4970.0,9/30/2011,32663.0,34785.0,0.0,-6825.0,38.0,7740.0,0.0,106075.0,298,59149.0,5354.0,66319.0,39142.0
19657,33551.0,8068.0,9/30/2011,5691.0,11015.0,1234.0,-19373.0,160.0,187004.0,0.0,383132.0,2453,247663.0,24139.0,318530.0,29191.0
20115,75769.0,14254.0,9/30/2011,53131.0,32327.0,0.0,-14373.0,119.0,136345.0,0.0,351492.0,14716,253304.0,8727.0,207869.0,72780.0
21132,177186.0,46324.0,9/30/2011,21390.0,203988.0,0.0,-33054.0,277.0,541556.0,0.0,1280964.0,22179,1008764.0,33210.0,947360.0,292270.0
32347,39944.0,4752.0,9/30/2011,0.0,441.0,0.0,-2944.0,41.0,53239.0,0.0,161430.0,1433,93713.0,3927.0,152323.0,7305.0
34392,23658.0,3051.0,9/30/2011,43837.0,8527.0,0.0,-5146.0,36.0,64669.0,0.0,184750.0,1613,99260.0,5200.0,135205.0,36837.0
35395,2572.0,23628.0,9/30/2011,36997.0,40857.0,0.0,-12765.0,30.0,60525.0,0.0,195034.0,-6583,164616.0,3658.0,163163.0,17672.0
57036,24092.0,2350.0,9/30/2011,75.0,2817.0,0.0,-2569.0,32.0,83153.0,0.0,165291.0,1891,129769.0,7012.0,144311.0,13497.0
57087,26537.0,7008.0,9/30/2011,20296.0,20863.0,0.0,-7514.0,40.0,78789.0,0.0,198081.0,12672,128175.0,4672.0,136785.0,32350.0
57256,19496.0,5672.0,9/30/2011,29277.0,4473.0,0.0,-8121.0,22.0,76911.0,0.0,198993.0,1325,120294.0,6724.0,166212.0,12561.0
57537,26103.0,4972.0,9/30/2011,31661.0,18535.0,0.0,-9944.0,42.0,113159.0,0.0,209048.0,-3542,155310.0,6744.0,187454.0,24730.0
57759,1414.0,2103.0,9/30/2011,3026.0,2293.0,0.0,-1135.0,9.0,22550.0,0.0,34800.0,701,26489.0,1496.0,26754.0,3788.0
57860,14279.0,1373.0,9/30/2011,9029.0,3434.0,0.0,-103.0,12.0,22331.0,0.0,62383.0,1364,41393.0,1777.0,50031.0,5875.0
57917,26916.0,10499.0,9/30/2011,3499.0,5386.0,0.0,-6198.0,23.0,118688.0,0.0,162872.0,1715,151192.0,6313.0,109625.0,34866.0
58046,17061.0,6669.0,9/30/2011,21681.0,83970.0,0.0,-1286.0,25.0,40530.0,0.0,191852.0,2048,146160.0,6646.0,168839.0,19260.0
58343,12349.0,2990.0,9/30/2011,15333.0,5907.0,0.0,-4361.0,23.0,67543.0,0.0,125976.0,-1080,87080.0,4097.0,102963.0,9087.0
37,20420.0,1087.0,,30760.0,2583.0,0.0,472.0,25.0,8043.0,,84857.0,17998,42000.0,1687.0,52568.0,13794.0
242,7552.0,169.0,,9384.0,1492.0,0.0,390.0,12.0,6917.0,,34645.0,4626,21550.0,669.0,15792.0,10099.0
279,47475.0,477.0,,13142.0,2613.0,0.0,801.0,39.0,18254.0,,147024.0,24088,73834.0,3470.0,85072.0,21428.0
354,1097.0,194.0,,5407.0,387.0,0.0,7.0,4.0,1189.0,,9967.0,1062,4088.0,269.0,6618.0,2276.0
457,7778.0,464.0,,0.0,5877.0,0.0,712.0,9.0,8650.0,,37575.0,3611,31413.0,734.0,24687.0,6648.0
505,131941.0,4393.0,,71353.0,18671.0,0.0,1921.0,109.0,49287.0,,405844.0,30797,242689.0,8216.0,300995.0,25084.0
1155,25159.0,2747.0,,22467.0,37029.0,479.0,1699.0,52.0,53146.0,,210432.0,19575,135340.0,4287.0,97082.0,80083.0
1351,12441.0,1435.0,,4621.0,19562.0,0.0,1949.0,30.0,25331.0,,159849.0,21523,71906.0,1925.0,114114.0,23546.0
1454,90637.0,3561.0,,221492.0,26863.0,0.0,6399.0,147.0,72117.0,,561183.0,56356,220106.0,11661.0,271112.0,232311.0
1557,2510.0,531.0,,3555.0,2926.0,0.0,603.0,12.0,10426.0,,58304.0,5644,32286.0,920.0,29270.0,20471.0
1669,45055.0,3134.0,,60620.0,8764.0,0.0,1994.0,51.0,11635.0,,245598.0,45500,81597.0,3840.0,106034.0,93114.0
1829,125005.0,3983.0,,77835.0,21256.0,785.0,2134.0,89.0,88588.0,,405774.0,43029,236861.0,8452.0,243665.0,91091.0
1856,2046.0,676.0,,29265.0,32804.0,0.0,5024.0,6.0,6949.0,,150582.0,23181,42104.0,1153.0,69268.0,3864.0
2040,27927.0,3310.0,,43307.0,12483.0,5.0,730.0,48.0,93346.0,,195865.0,20932,136388.0,4323.0,109442.0,39896.0
2161,29100.0,595.0,,40449.0,14289.0,336.0,1453.0,32.0,2543.0,,126535.0,14392,58879.0,2633.0,62118.0,47851.0
2376,235740.0,27540.0,,697822.0,28690.0,0.0,20113.0,176.0,1413899.0,,2584231.0,429277,1678933.0,22426.0,1365784.0,38523.0
2554,450.0,94.0,,1670.0,746.0,0.0,103.0,4.0,2196.0,,11563.0,1141,5350.0,188.0,5766.0,4624.0
2732,40138.0,6055.0,,85326.0,34134.0,0.0,2002.0,95.0,287199.0,,525891.0,75946,363860.0,8507.0,318099.0,129045.0
2750,2400.0,563.0,,17009.0,2646.0,0.0,342.0,11.0,9194.0,,60579.0,5566,37011.0,1071.0,34126.0,12609.0
3252,619.0,1585.0,,66872.0,9960.0,0.0,2617.0,35.0,25846.0,,153216.0,19990,80882.0,2453.0,75955.0,52934.0
3458,2457.0,358.0,,8018.0,3630.0,0.0,168.0,11.0,7059.0,,32601.0,3350,15505.0,555.0,15400.0,8733.0
3720,30203.0,1521.0,,43441.0,10811.0,0.0,1765.0,58.0,57158.0,,195881.0,29094,113880.0,4357.0,89450.0,66946.0
3953,5089.0,1401.0,,4.0,18305.0,0.0,-7002.0,16.0,18978.0,,54582.0,1597,48384.0,3906.0,36202.0,15781.0
4156,29715.0,2018.0,,38159.0,13781.0,0.0,696.0,64.0,65454.0,,193866.0,20490,120417.0,5106.0,99079.0,58031.0
4231,13372.0,900.0,,34374.0,4806.0,0.0,162.0,33.0,49199.0,,123241.0,14902,76858.0,2391.0,83052.0,24457.0
4437,65060.0,3154.0,,86287.0,10840.0,0.0,1372.0,60.0,62876.0,,261456.0,27440,149520.0,5103.0,164536.0,62127.0
4839,35461.0,4876.0,,52774.0,12566.0,0.0,2065.0,91.0,196507.0,,324309.0,31972,246798.0,8260.0,214151.0,52357.0
5005,115119.0,2453.0,,72066.0,2712.0,0.0,-1481.0,95.0,101125.0,,336594.0,19952,219163.0,10783.0,214978.0,42767.0
5069,34383.0,20468.0,,34842.0,2570.0,0.0,16686.0,30.0,304097.0,,459860.0,132656,348856.0,4327.0,304075.0,15260.0
5135,59877.0,3717.0,,24844.0,20049.0,507.0,2282.0,62.0,109416.0,,350298.0,39132,263767.0,6299.0,222621.0,63511.0
5210,344698.0,15412.0,,208702.0,33738.0,0.0,6130.0,257.0,252769.0,,1008825.0,85540,670525.0,19109.0,712236.0,91373.0
5331,19043.0,1898.0,,213085.0,5096.0,0.0,1025.0,75.0,119379.0,,394832.0,34111,144822.0,8046.0,173504.0,60597.0
5461,46515.0,3818.0,,73891.0,46402.0,0.0,1218.0,129.0,231466.0,,463428.0,46725,345980.0,11638.0,356585.0,41390.0
5751,9983.0,1044.0,,50843.0,5276.0,0.0,1768.0,18.0,9146.0,,110965.0,26642,51686.0,1697.0,63964.0,19609.0
6039,6692.0,1044.0,,3505.0,5853.0,477.0,242.0,24.0,31854.0,,85186.0,8935,55145.0,2086.0,51096.0,24905.0
6141,6076.0,394.0,,0.0,1670.0,0.0,247.0,11.0,9447.0,,58941.0,4992,24716.0,927.0,20808.0,33019.0
6329,83157.0,7693.0,,33158.0,30650.0,1214.0,-2260.0,187.0,117037.0,,449903.0,32724,340778.0,16236.0,301896.0,112847.0
6972,62247.0,14500.0,,106112.0,74860.0,0.0,9662.0,237.0,318968.0,,791945.0,91581,474563.0,24736.0,601888.0,89022.0
7009,0.0,0.0,,441305.0,69391.0,0.0,8635.0,82.0,0.0,,751296.0,51419,291640.0,39083.0,656493.0,37023.0
7045,26840.0,898.0,,51896.0,3788.0,487.0,851.0,47.0,21679.0,,147480.0,16094,69553.0,2669.0,71209.0,59223.0
7157,8251.0,352.0,,18981.0,6097.0,0.0,270.0,8.0,4533.0,,48156.0,4347,25015.0,766.0,33831.0,9493.0
7456,2539.0,383.0,,15484.0,8249.0,0.0,454.0,16.0,10299.0,,59681.0,5235,31724.0,1315.0,33186.0,21130.0
7634,13404.0,1397.0,,5563.0,4605.0,0.0,-143.0,13.0,23196.0,,63058.0,5507,45889.0,1333.0,44903.0,10534.0
8033,41204.0,1228.0,,10687.0,15792.0,0.0,1220.0,35.0,69678.0,,163141.0,15746,136509.0,2726.0,90325.0,41790.0
8462,1618.0,504.0,,77259.0,11231.0,0.0,1410.0,21.0,7384.0,,137955.0,16841,36216.0,1696.0,59301.0,61601.0
8631,13878.0,460.0,,13085.0,6445.0,0.0,319.0,20.0,5780.0,,57785.0,6702,33999.0,1323.0,34835.0,15878.0
9357,62201.0,5625.0,,64262.0,101988.0,0.0,4041.0,45.0,49701.0,,389595.0,69645,218724.0,5328.0,231589.0,35058.0
9553,7859.0,791.0,,23622.0,5152.0,0.0,880.0,14.0,25356.0,,118216.0,9276,79104.0,1410.0,51972.0,21901.0
9807,497864.0,58635.0,,101517.0,85956.0,0.0,4366.0,237.0,924988.0,,2311079.0,221723,1509961.0,44716.0,1635675.0,109200.0
9955,9693.0,1266.0,,28677.0,8029.0,0.0,951.0,26.0,27196.0,,106470.0,12919,56583.0,2416.0,56480.0,34856.0
10250,62806.0,12712.0,,39732.0,48845.0,289.0,-2897.0,91.0,159944.0,,389253.0,27201,284686.0,10508.0,327394.0,34071.0
10849,32360.0,2961.0,,13666.0,12781.0,0.0,278.0,59.0,131933.0,,256199.0,23167,194425.0,5680.0,209536.0,13916.0
10858,41500.0,2699.0,,82649.0,48264.0,0.0,2781.0,120.0,94251.0,,392322.0,33976,269902.0,10298.0,302468.0,2057.0
11145,74173.0,1714.0,,18348.0,2751.0,0.0,817.0,56.0,43010.0,,171602.0,17564,124001.0,4213.0,83005.0,62443.0
11640,26481.0,3025.0,,95620.0,43291.0,0.0,2952.0,57.0,73903.0,,346922.0,34093,201039.0,6518.0,243032.0,26569.0
11837,5759.0,1081.0,,56946.0,1280.0,107.0,281.0,17.0,23206.0,,94962.0,11741,31427.0,1851.0,44919.0,30193.0
12030,51659.0,9979.0,,3544.0,34736.0,0.0,2490.0,87.0,155226.0,,306792.0,37065,272088.0,6122.0,201540.0,65781.0
12142,27787.0,1698.0,,47847.0,16055.0,395.0,971.0,70.0,47489.0,,180937.0,21003,108337.0,4652.0,80432.0,71712.0
12245,34581.0,1394.0,,32637.0,4101.0,63.0,550.0,39.0,35498.0,,118819.0,13770,79048.0,2911.0,72644.0,24809.0
12311,,,,,,,,,,,,4031232,,,,
12647,21583.0,740.0,,0.0,15895.0,0.0,716.0,25.0,28845.0,,101123.0,9967,76032.0,1936.0,72835.0,15381.0
12656,7136.0,271.0,,0.0,989.0,0.0,83.0,9.0,2457.0,,16611.0,1416,12850.0,562.0,10083.0,5063.0
12937,54836.0,1668.0,,497.0,13471.0,0.0,1109.0,40.0,94796.0,,218990.0,32662,164172.0,4096.0,129128.0,50530.0
12946,146184.0,10100.0,,152004.0,38987.0,0.0,7445.0,159.0,298819.0,,716665.0,74658,516821.0,12074.0,553874.0,69147.0
12955,20997.0,1071.0,,7.0,14951.0,0.0,213.0,54.0,60285.0,,117425.0,12096,99594.0,3811.0,65400.0,35525.0
13103,330222.0,9702.0,,266653.0,92802.0,0.0,7039.0,302.0,325268.0,,1292502.0,174495,926877.0,30562.0,885333.0,99267.0
13251,3760.0,593.0,,4717.0,3872.0,0.0,512.0,8.0,6245.0,,40273.0,4101,19454.0,632.0,28628.0,7453.0
13457,226.0,136.0,,4289.0,1048.0,0.0,273.0,5.0,4814.0,,20696.0,6046,12359.0,413.0,9436.0,5066.0
14052,10922.0,832.0,,10767.0,2610.0,0.0,86.0,18.0,19009.0,,60587.0,6548,36398.0,1605.0,35701.0,17226.0
14155,32143.0,1791.0,,6674.0,14173.0,0.0,1292.0,44.0,30617.0,,117095.0,14194,98118.0,3583.0,66543.0,30308.0
14650,4002.0,375.0,,24.0,3165.0,0.0,312.0,13.0,2988.0,,26313.0,2961,15659.0,961.0,11603.0,11300.0
14753,1538.0,488.0,,10443.0,1639.0,0.0,176.0,11.0,3117.0,,40802.0,3651,14724.0,830.0,27451.0,9234.0
14865,14233.0,3009.0,,20254.0,18405.0,553.0,1564.0,103.0,61349.0,,252063.0,28005,202791.0,7549.0,187344.0,35049.0
14977,7608.0,324.0,,7543.0,709.0,0.0,118.0,16.0,5030.0,,44676.0,7669,23286.0,957.0,28826.0,7948.0
16458,21693.0,2442.0,,78028.0,19159.0,0.0,1496.0,81.0,91049.0,,291147.0,34758,135188.0,7508.0,230951.0,24309.0
16551,52027.0,2508.0,,28461.0,12963.0,250.0,1056.0,83.0,75314.0,,233978.0,21614,159922.0,4450.0,146327.0,58676.0
16748,8753.0,450.0,,12178.0,2596.0,0.0,423.0,16.0,7511.0,,57732.0,6559,28370.0,1307.0,32669.0,17760.0
16944,7975.0,214.0,,16273.0,1208.0,0.0,103.0,12.0,3691.0,,40108.0,4234,14086.0,938.0,21999.0,13573.0
16953,1460.0,121.0,,6660.0,3083.0,0.0,169.0,8.0,3155.0,,33094.0,5318,14225.0,827.0,17051.0,10590.0
17110,1710.0,319.0,,12609.0,8145.0,0.0,2568.0,64.0,0.0,,102566.0,19297,70107.0,12946.0,80951.0,0.0
17147,649268.0,73074.0,,494782.0,614905.0,0.0,24532.0,1090.0,1264344.0,,4093371.0,594514,2725449.0,89502.0,2781854.0,299722.0
17259,9029.0,205.0,,25048.0,3199.0,0.0,760.0,27.0,14751.0,,65576.0,7722,33011.0,1692.0,39300.0,13539.0
17464,100812.0,30710.0,,134952.0,150696.0,3572.0,-75281.0,455.0,321514.0,,1392625.0,157752,1071949.0,47649.0,940142.0,208564.0
17950,29161.0,2748.0,,119112.0,18162.0,0.0,1657.0,77.0,64509.0,,294531.0,27796,148374.0,5111.0,174474.0,89231.0
18050,64386.0,2685.0,,118859.0,12667.0,0.0,4315.0,108.0,100364.0,,387125.0,43076,193758.0,7813.0,185352.0,156709.0
18135,74915.0,1419.0,,43619.0,41069.0,0.0,957.0,54.0,8855.0,,238224.0,20539,133788.0,6511.0,99537.0,74552.0
18377,18945.0,202.0,,8642.0,0.0,0.0,378.0,3.0,506.0,,45811.0,3534,19525.0,260.0,42219.0,0.0
18827,143829.0,4542.0,,53805.0,29041.0,0.0,2633.0,83.0,97041.0,,392982.0,39683,294998.0,6830.0,249497.0,103078.0
18836,60530.0,2249.0,,12945.0,2130.0,0.0,376.0,49.0,39714.0,,157111.0,13508,119784.0,3890.0,110169.0,28975.0
18854,12370.0,1721.0,,3211.0,85820.0,0.0,15191.0,50.0,45965.0,,201285.0,23185,152629.0,3675.0,126518.0,50130.0
18957,6139.0,443.0,,4329.0,3457.0,0.0,-338.0,9.0,7439.0,,25308.0,683,18723.0,834.0,16700.0,7412.0
19356,9293.0,746.0,,33178.0,10840.0,0.0,546.0,28.0,14890.0,,75837.0,8892,38713.0,1642.0,40645.0,22742.0
19730,269010.0,41724.0,,155246.0,149432.0,0.0,1397.0,540.0,1161863.0,,2192352.0,226223,1614215.0,49705.0,1646225.0,276713.0
19936,37530.0,3995.0,,19114.0,13025.0,0.0,227.0,48.0,75537.0,,237046.0,21089,140593.0,4091.0,136809.0,73592.0
19972,34516.0,250.0,,0.0,139.0,0.0,480.0,6.0,1354.0,,83620.0,13016,35510.0,906.0,69794.0,0.0
20053,16158.0,734.0,,10405.0,3560.0,78.0,345.0,19.0,21419.0,,67128.0,8425,48872.0,1719.0,41952.0,14424.0
20512,32102.0,546.0,,36250.0,990.0,0.0,676.0,25.0,10227.0,,99212.0,10231,49893.0,2147.0,59666.0,24843.0
20633,48343.0,3101.0,,70784.0,10255.0,0.0,1098.0,84.0,134844.0,,333235.0,27224,204671.0,7057.0,225658.0,71936.0
20857,2302.0,620.0,,107733.0,6618.0,0.0,2486.0,16.0,19847.0,,207279.0,21080,50923.0,1834.0,44100.0,135019.0
21256,2106.0,143.0,,1182.0,320.0,0.0,45.0,4.0,2498.0,,9625.0,1076,5297.0,251.0,4455.0,4084.0
21359,4048.0,195.0,,5040.0,2682.0,0.0,325.0,7.0,3927.0,,23787.0,2765,15157.0,579.0,17516.0,3172.0
21630,11404.0,321.0,,42599.0,5448.0,0.0,695.0,28.0,12469.0,,86305.0,9020,33974.0,1732.0,48322.0,21564.0
21658,28997.0,1356.0,,34359.0,6732.0,122.0,776.0,42.0,41186.0,,144256.0,14576,97230.0,3097.0,128081.0,99.0
22048,26973.0,2847.0,,46143.0,15412.0,0.0,850.0,64.0,62532.0,,190288.0,19118,121234.0,5052.0,98491.0,50150.0
22356,26409.0,2712.0,,206014.0,24581.0,0.0,2559.0,76.0,56675.0,,377079.0,43544,136747.0,6329.0,267782.0,25484.0
22543,25439.0,834.0,,6384.0,1222.0,0.0,596.0,24.0,24239.0,,85942.0,13271,52489.0,1627.0,33898.0,37745.0
22552,7521.0,997.0,,9008.0,10694.0,0.0,973.0,19.0,30954.0,,79503.0,7608,67270.0,1985.0,51369.0,19455.0
22730,27961.0,726.0,,26420.0,10241.0,0.0,511.0,45.0,21557.0,,116853.0,12758,72564.0,3024.0,61763.0,37431.0
22936,43577.0,7111.0,,14183.0,24869.0,0.0,-9109.0,61.0,97674.0,,231406.0,9916,180956.0,6282.0,167475.0,49647.0
22954,13299.0,1411.0,,19605.0,6923.0,0.0,682.0,20.0,19454.0,,87582.0,8875,56427.0,1720.0,44692.0,26182.0
23045,2969.0,191.0,,23355.0,582.0,0.0,140.0,15.0,2875.0,,40111.0,8030,6944.0,859.0,22136.0,9867.0
23456,17473.0,781.0,,23390.0,10376.0,0.0,1033.0,23.0,22619.0,,93066.0,10890,62235.0,2092.0,49350.0,32428.0
23504,150056.0,10162.0,,388471.0,82526.0,0.0,8149.0,218.0,349484.0,,1278689.0,96613,592360.0,22968.0,1022690.0,134429.0
23540,37429.0,1437.0,,63266.0,6849.0,0.0,107.0,38.0,28930.0,,203245.0,12426,76885.0,4095.0,150720.0,37872.0
23643,22381.0,1953.0,,40659.0,16768.0,0.0,2107.0,40.0,40729.0,,157960.0,16673,106639.0,3448.0,91188.0,49412.0
23755,39277.0,1354.0,,32746.0,7423.0,0.0,686.0,52.0,52024.0,,160078.0,15161,105387.0,4584.0,89973.0,51406.0
24006,169769.0,8746.0,,82038.0,62897.0,0.0,1152.0,133.0,256343.0,,960721.0,106472,497566.0,14432.0,719142.0,129316.0
24453,35315.0,10496.0,,16578.0,13671.0,0.0,-7241.0,42.0,111070.0,,237554.0,8381,163710.0,7592.0,151412.0,42288.0
24659,4937.0,393.0,,0.0,6801.0,37.0,431.0,9.0,6592.0,,36912.0,4834,24014.0,718.0,22143.0,9761.0
24668,45755.0,1453.0,,62026.0,12687.0,0.0,1094.0,73.0,42869.0,,203936.0,21150,110853.0,5722.0,151461.0,22121.0
24855,443.0,77.0,,0.0,1686.0,0.0,38.0,4.0,227.0,,15715.0,961,4894.0,281.0,6235.0,8482.0
24949,127211.0,8823.0,,37134.0,89553.0,346.0,2406.0,202.0,303925.0,,761081.0,74162,549564.0,14736.0,535791.0,141856.0
25357,7990.0,1433.0,,8644.0,2127.0,0.0,613.0,47.0,36102.0,,125776.0,11296,48425.0,2878.0,66506.0,38656.0
25647,19084.0,2599.0,,10118.0,892.0,0.0,-166.0,22.0,33570.0,,65563.0,3294,53857.0,1915.0,50997.0,11056.0
26242,104898.0,2737.0,,87997.0,15894.0,881.0,3967.0,122.0,103262.0,,387096.0,57361,241757.0,8661.0,235428.0,83961.0
26457,6054.0,188.0,,5688.0,867.0,0.0,131.0,7.0,9328.0,,24894.0,3027,17788.0,553.0,16002.0,5266.0
26765,22092.0,3904.0,,31046.0,25648.0,0.0,-1897.0,73.0,109421.0,,225116.0,26451,161220.0,8765.0,146019.0,51106.0
26859,27389.0,5380.0,,0.0,41625.0,0.0,-1968.0,92.0,136780.0,,349926.0,34254,247412.0,10031.0,216550.0,96816.0
27548,101145.0,6028.0,,138627.0,122185.0,0.0,2020.0,157.0,101322.0,,548281.0,54610,333978.0,14534.0,397059.0,60713.0
27614,101838.0,1376.0,,141106.0,8360.0,294.0,3209.0,96.0,23014.0,,325764.0,31738,156350.0,6829.0,171278.0,101581.0
27847,105232.0,6612.0,,131728.0,13660.0,0.0,3984.0,127.0,123981.0,,445874.0,49620,276160.0,9542.0,273555.0,96002.0
28152,14960.0,757.0,,8009.0,5294.0,0.0,967.0,19.0,24968.0,,74181.0,7150,49516.0,1272.0,46109.0,19040.0
28255,8418.0,1860.0,,11972.0,31580.0,0.0,1680.0,50.0,78629.0,,260661.0,20577,128968.0,4268.0,97241.0,142246.0
28349,41954.0,3070.0,,0.0,38915.0,0.0,-1688.0,60.0,60578.0,,179392.0,16387,154712.0,5276.0,114446.0,35403.0
28406,257147.0,3126.0,,471631.0,1000.0,0.0,3329.0,116.0,7289.0,,965929.0,159230,266674.0,14520.0,671866.0,82980.0
28572,30389.0,1244.0,,1095.0,0.0,0.0,-1717.0,12.0,10869.0,,49489.0,3361,41258.0,1882.0,33504.0,5384.0
28732,10668.0,1104.0,,21923.0,5690.0,0.0,278.0,22.0,22877.0,,79259.0,8557,45523.0,1903.0,43871.0,21222.0
29104,161818.0,9536.0,,388612.0,116532.0,0.0,10554.0,161.0,425714.0,,1375984.0,136717,707935.0,16963.0,992204.0,69992.0
29636,140229.0,7404.0,,311308.0,41453.0,973.0,5563.0,256.0,185555.0,,826305.0,84100,409453.0,19136.0,494743.0,73888.0
29953,15028.0,1118.0,,6762.0,6510.0,0.0,1173.0,18.0,34555.0,,78269.0,10091,60956.0,1491.0,37370.0,18201.0
30052,2500.0,241.0,,0.0,1396.0,0.0,143.0,13.0,9527.0,,22449.0,2955,13950.0,1016.0,11466.0,5444.0
30258,78674.0,12053.0,,27312.0,37271.0,173.0,-10427.0,112.0,194499.0,,419723.0,4765,327000.0,19479.0,355565.0,28555.0
30418,0.0,66.0,,307652.0,0.0,0.0,2430.0,15.0,0.0,,530910.0,42272,212625.0,3372.0,333276.0,0.0
30502,156175.0,10212.0,,205944.0,61623.0,0.0,5444.0,206.0,205115.0,,800963.0,86584,490014.0,18650.0,549349.0,53201.0
30650,20077.0,2741.0,,30275.0,15472.0,0.0,-1407.0,23.0,51040.0,,140748.0,12113,86004.0,3734.0,73720.0,35111.0
30810,,,,,,,,,,,,6838803,,,,
31134,21890.0,761.0,,27361.0,6226.0,227.0,926.0,39.0,11601.0,,109804.0,15930,53019.0,2600.0,50187.0,31675.0
31255,14816.0,3671.0,,169385.0,49186.0,0.0,2996.0,90.0,138844.0,,435766.0,37745,214020.0,9954.0,294919.0,79102.0
31657,14381.0,487.0,,0.0,5123.0,0.0,1569.0,29.0,12252.0,,112046.0,11469,41392.0,1947.0,65653.0,34705.0
31826,73272.0,3845.0,,55399.0,13759.0,0.0,1664.0,69.0,43878.0,,242906.0,37988,150039.0,4598.0,148764.0,53730.0
31835,7291.0,1630.0,,26364.0,11438.0,0.0,1044.0,27.0,13734.0,,126148.0,13204,74918.0,2784.0,62272.0,32344.0
32234,17446.0,384.0,,32800.0,5949.0,0.0,476.0,22.0,11376.0,,106023.0,12740,43531.0,1794.0,32565.0,45758.0
32766,2951.0,231.0,,34.0,1950.0,0.0,125.0,13.0,7856.0,,52694.0,4767,16783.0,1185.0,23637.0,24227.0
33147,73191.0,6167.0,,20495.0,61557.0,0.0,854.0,89.0,152335.0,,394262.0,33982,333897.0,8931.0,307857.0,32315.0
33259,44259.0,12143.0,,39461.0,34028.0,0.0,153.0,85.0,291414.0,,580423.0,48189,421106.0,10810.0,491606.0,33013.0
33268,4891.0,643.0,,92526.0,5079.0,0.0,1367.0,36.0,8787.0,,139730.0,14762,34320.0,2735.0,83876.0,40810.0
33754,2404.0,83.0,,19459.0,1047.0,0.0,161.0,11.0,1647.0,,35070.0,4868,8261.0,724.0,20127.0,9675.0
33839,5642.0,89.0,,7260.0,1431.0,0.0,279.0,7.0,2641.0,,33489.0,3479,14194.0,546.0,16755.0,13107.0
33857,21825.0,943.0,,6748.0,33059.0,0.0,592.0,33.0,33943.0,,121490.0,13858,100780.0,2743.0,65217.0,35228.0
34153,32810.0,15803.0,,72431.0,41805.0,0.0,-3603.0,184.0,136120.0,,429845.0,25043,264695.0,18875.0,367323.0,32616.0
34359,3334.0,292.0,,11083.0,1780.0,0.0,312.0,6.0,5438.0,,30697.0,6558,15405.0,471.0,17504.0,5130.0
34425,134938.0,3324.0,,39502.0,11665.0,1399.0,254.0,115.0,71679.0,,320691.0,27237,237420.0,8821.0,253187.0,18430.0
34434,55854.0,1443.0,,34882.0,14031.0,1195.0,3212.0,85.0,91237.0,,263065.0,23022,184943.0,6419.0,187587.0,51210.0
34452,24051.0,516.0,,39507.0,16695.0,0.0,1247.0,27.0,14567.0,,105699.0,12089,57632.0,2299.0,57630.0,33199.0
34537,535970.0,28401.0,,611195.0,36120.0,0.0,5264.0,426.0,559583.0,,2049399.0,210770,1197686.0,55243.0,945700.0,724232.0
34555,22967.0,1236.0,,79898.0,5995.0,0.0,1807.0,41.0,48738.0,,200578.0,22748,95843.0,3125.0,116750.0,56053.0
34742,106010.0,2358.0,,30185.0,14942.0,0.0,954.0,92.0,65644.0,,272224.0,23959,196860.0,7642.0,228258.0,16106.0
34836,6078.0,274.0,,7708.0,717.0,0.0,207.0,11.0,5909.0,,27932.0,1908,16782.0,752.0,18721.0,7204.0
35057,22140.0,1622.0,,21339.0,6914.0,0.0,1464.0,48.0,34087.0,,107859.0,11238,71139.0,3644.0,64056.0,29420.0
35301,,,,,,,,,,,,18516382,,,,
35570,5306636.0,116490.0,,785807.0,91250.0,0.0,57624.0,915.0,3269972.0,,10497011.0,872948,8672513.0,115299.0,6870822.0,395428.0
35646,3370.0,218.0,,3551.0,7264.0,64.0,462.0,8.0,2519.0,,47791.0,11499,15810.0,788.0,26733.0,9084.0
35842,27125.0,2178.0,,39794.0,13965.0,0.0,1816.0,39.0,52477.0,,207899.0,15317,148123.0,2862.0,149825.0,32804.0
36054,89470.0,13026.0,,1073.0,182094.0,10771.0,11059.0,231.0,623089.0,,1281120.0,121899,916574.0,25647.0,1018399.0,116930.0
36344,50274.0,3271.0,,101300.0,42503.0,0.0,3937.0,136.0,141009.0,,406335.0,43671,254546.0,10969.0,284484.0,37833.0
36456,5069.0,1155.0,,19351.0,5209.0,0.0,-576.0,18.0,20306.0,,93827.0,9327,63365.0,1913.0,57857.0,26205.0
36858,7355.0,1340.0,,107673.0,9073.0,0.0,-185.0,40.0,40269.0,,168725.0,20000,57111.0,4246.0,120013.0,19469.0
36933,24333.0,1339.0,,9124.0,3848.0,0.0,-1113.0,34.0,17543.0,,78471.0,5637,56589.0,2938.0,43704.0,28673.0
37051,7572.0,719.0,,9456.0,3526.0,24.0,368.0,22.0,22729.0,,65759.0,7076,47349.0,1642.0,49774.0,8597.0
