,Total equity capital,Total assets,Total loans,1-4 family residential loans,Other real estate loans,Commercial and industrial loans,Credit cards,Allowance for loan losses,Total noninterest expense,Net Income before,Total transaction deposits,Total nontransaction deposits,Available-for-sale Fair Value,Number of full-time employees,AsOfDate,Target
10716,3221,36485.0,29255.0,5907.0,4457.0,5783.0,0.0,154.0,1007.0,428.0,9850.0,20853.0,0.0,8.0,6/30/2019,1
37,16092,74991.0,25071.0,11445.0,3124.0,3321.0,0.0,996.0,1280.0,318.0,24642.0,34058.0,43898.0,22.0,6/30/2019,0
242,5053,42778.0,23903.0,9396.0,7839.0,1634.0,0.0,186.0,485.0,334.0,13402.0,20679.0,12467.0,11.0,6/30/2019,0
279,30357,261498.0,169621.0,124261.0,28051.0,3841.0,0.0,1031.0,3828.0,336.0,68480.0,136731.0,13289.0,61.0,6/30/2019,0
354,1390,13926.0,8145.0,3054.0,550.0,2489.0,0.0,153.0,720.0,45.0,5625.0,6812.0,1149.0,15.0,6/30/2019,0
457,4377,53879.0,46843.0,13875.0,13382.0,8554.0,0.0,492.0,658.0,525.0,10437.0,32073.0,249.0,13.0,6/30/2019,0
505,50036,549782.0,447657.0,206058.0,171770.0,38340.0,0.0,5961.0,8108.0,2198.0,52398.0,397331.0,66398.0,127.0,6/30/2019,0
1155,23916,257179.0,188530.0,49522.0,71001.0,48991.0,475.0,3721.0,3774.0,2276.0,151476.0,79659.0,24708.0,59.0,6/30/2019,0
1351,26409,166540.0,98107.0,22024.0,34290.0,22053.0,0.0,1084.0,1821.0,1049.0,35812.0,103624.0,9953.0,35.0,6/30/2019,0
1454,93803,740537.0,268677.0,100997.0,116395.0,26631.0,0.0,3400.0,9891.0,5465.0,354131.0,289387.0,398023.0,138.0,6/30/2019,0
1669,48777,289094.0,159305.0,83849.0,34986.0,14476.0,0.0,2904.0,2922.0,1957.0,137637.0,102412.0,57488.0,50.0,6/30/2019,0
1856,14414,106081.0,38413.0,12775.0,16625.0,2724.0,0.0,576.0,608.0,315.0,5033.0,56492.0,32805.0,10.0,6/30/2019,0
2040,24699,192281.0,129881.0,19678.0,77286.0,32236.0,0.0,3047.0,2633.0,1627.0,56031.0,92519.0,37346.0,34.0,6/30/2019,0
2161,16937,168106.0,116139.0,55792.0,39699.0,11775.0,305.0,1490.0,2947.0,821.0,78541.0,69761.0,16123.0,47.0,6/30/2019,0
2376,485138,4069699.0,3496146.0,268056.0,3237305.0,19365.0,0.0,28596.0,19115.0,25047.0,187094.0,2764538.0,32751.0,217.0,6/30/2019,0
2732,97736,597163.0,431720.0,27377.0,367118.0,36944.0,0.0,5018.0,6334.0,2766.0,165052.0,331591.0,58085.0,66.0,6/30/2019,0
2750,7330,63465.0,42968.0,2270.0,13483.0,1454.0,0.0,553.0,826.0,418.0,14036.0,41479.0,9936.0,10.0,6/30/2019,0
3252,27625,194236.0,109476.0,241.0,36540.0,10878.0,0.0,4781.0,2055.0,1822.0,85380.0,71703.0,77467.0,36.0,6/30/2019,0
