,Total equity capital,Total assets,Total loans,1-4 family residential loans,Other real estate loans,Commercial and industrial loans,Credit cards,Allowance for loan losses,Total noninterest expense,Net Income before,Total transaction deposits,Total nontransaction deposits,Available-for-sale Fair Value,Number of full-time employees,AsOfDate,Target
450650,4680,36548.0,19928.0,6600.0,9053.0,2274.0,0.0,360.0,2605.0,-670.0,13708.0,17054.0,748.0,21.0,12/31/2011,0
450669,7394,82546.0,16720.0,6526.0,6526.0,2008.0,0.0,1000.0,1647.0,1288.0,16391.0,58650.0,62306.0,11.0,12/31/2011,0
450753,26167,281990.0,57286.0,15990.0,26715.0,8192.0,0.0,1193.0,3976.0,4506.0,9431.0,244300.0,214325.0,23.0,12/31/2011,0
450856,249451,2481611.0,1929057.0,109254.0,934034.0,187490.0,5797.0,30036.0,84590.0,26396.0,220518.0,1895354.0,371449.0,654.0,12/31/2011,0
450959,33087,314930.0,170993.0,25016.0,117098.0,12597.0,198.0,4861.0,6558.0,3444.0,49256.0,164574.0,91701.0,46.0,12/31/2011,0
451068,45272,441456.0,210498.0,49906.0,125087.0,21993.0,0.0,3630.0,16626.0,4265.0,27900.0,359219.0,189958.0,139.0,12/31/2011,0
451246,14745,149546.0,116495.0,36551.0,66229.0,9830.0,918.0,4020.0,4317.0,-737.0,27966.0,89000.0,0.0,43.0,12/31/2011,0
451853,6965,39389.0,11327.0,1925.0,2199.0,4535.0,0.0,212.0,1169.0,334.0,13805.0,18448.0,20858.0,15.0,12/31/2011,0
451965,123358000,,,,,,,,,,,,,,12/31/2011,0
452104,23701,223614.0,147622.0,41031.0,85160.0,17131.0,511.0,3058.0,7321.0,1704.0,55515.0,133329.0,50824.0,60.0,12/31/2011,0
452159,18970,169128.0,81178.0,5987.0,33929.0,33715.0,0.0,505.0,5439.0,505.0,67692.0,76708.0,69645.0,47.0,12/31/2011,0
452739,10150,105021.0,61650.0,17024.0,38144.0,681.0,0.0,1126.0,3823.0,83.0,39524.0,55170.0,23896.0,34.0,12/31/2011,0
452841,24793,196842.0,100819.0,45303.0,30784.0,9398.0,468.0,2573.0,3693.0,1571.0,39266.0,130383.0,54853.0,31.0,12/31/2011,0
452850,42694,424124.0,154304.0,18900.0,107963.0,16110.0,0.0,3439.0,11114.0,2704.0,43135.0,324987.0,215335.0,89.0,12/31/2011,0
453026,11705,113231.0,84429.0,25489.0,57384.0,646.0,49.0,2130.0,3105.0,-645.0,21317.0,75875.0,20561.0,33.0,12/31/2011,0
453147,11851,90454.0,47037.0,7086.0,29667.0,2687.0,81.0,884.0,2211.0,907.0,20852.0,53956.0,26890.0,30.0,12/31/2011,0
453446,23743,209857.0,72790.0,16679.0,43250.0,9688.0,430.0,970.0,4679.0,2096.0,72324.0,105624.0,116488.0,47.0,12/31/2011,0
453839,9054,96462.0,65174.0,24236.0,22464.0,8475.0,82.0,1103.0,3086.0,142.0,32004.0,51518.0,21303.0,31.0,12/31/2011,0
454340,3795,44618.0,16857.0,6134.0,4370.0,2444.0,0.0,356.0,1518.0,605.0,15258.0,25143.0,0.0,14.0,12/31/2011,0
454546,18085,177016.0,97281.0,24896.0,47901.0,18015.0,396.0,2162.0,7545.0,1586.0,52297.0,103449.0,59240.0,87.0,12/31/2011,0
454658,20483,214286.0,94380.0,19985.0,17420.0,25101.0,0.0,1430.0,7001.0,1897.0,58931.0,129152.0,83004.0,60.0,12/31/2011,0
454676,171188,1562346.0,1285153.0,281553.0,772393.0,222927.0,0.0,31726.0,79452.0,-47986.0,98355.0,1257054.0,62384.0,357.0,12/31/2011,0
455150,23195,124720.0,71674.0,22288.0,10407.0,16907.0,0.0,896.0,3938.0,2787.0,25389.0,75811.0,39029.0,29.0,12/31/2011,0
455253,38803,187661.0,92058.0,14722.0,68104.0,8732.0,0.0,1448.0,6315.0,554.0,20557.0,126683.0,63365.0,31.0,12/31/2011,0
455459,7407,82148.0,46680.0,10438.0,14342.0,9969.0,0.0,327.0,3903.0,438.0,45111.0,29064.0,17283.0,41.0,12/31/2011,0
455552,47770,480823.0,270714.0,45432.0,66670.0,31365.0,0.0,2057.0,10609.0,4523.0,23994.0,315791.0,145434.0,95.0,12/31/2011,0
455945,16782,80342.0,45608.0,12121.0,12468.0,11085.0,0.0,896.0,1637.0,1108.0,25025.0,38137.0,777.0,19.0,12/31/2011,0
455972,129365,1224918.0,947082.0,259112.0,504707.0,72414.0,443.0,12790.0,41270.0,10902.0,158903.0,925649.0,18257.0,328.0,12/31/2011,0
456045,479823,3588241.0,2301303.0,522145.0,1480598.0,200875.0,237.0,52129.0,91160.0,57810.0,228949.0,2662974.0,671220.0,774.0,12/31/2011,0
456054,20159,136329.0,62159.0,3638.0,15818.0,5511.0,0.0,1891.0,2915.0,1428.0,36507.0,72319.0,63565.0,25.0,12/31/2011,0
456157,41945,272961.0,195544.0,40769.0,124171.0,12094.0,0.0,3688.0,5509.0,3832.0,72216.0,141595.0,50215.0,48.0,12/31/2011,0
456250,10668,96317.0,74349.0,29449.0,32809.0,1427.0,0.0,621.0,2698.0,1885.0,22783.0,58550.0,2864.0,24.0,12/31/2011,0
456344,4624,29097.0,9580.0,621.0,7418.0,641.0,0.0,827.0,724.0,289.0,11583.0,12795.0,100.0,8.0,12/31/2011,0
456447,4927,164452.0,124364.0,41807.0,54339.0,9830.0,419.0,6956.0,6023.0,-14228.0,43635.0,108665.0,0.0,58.0,12/31/2011,0
456755,19271,208332.0,131500.0,46032.0,45418.0,12492.0,0.0,1752.0,5721.0,3723.0,32230.0,146220.0,57941.0,48.0,12/31/2011,0
456960,532906,4101113.0,2311270.0,630564.0,1169610.0,360732.0,2352.0,131762.0,133967.0,46585.0,315990.0,3230342.0,719346.0,827.0,12/31/2011,0
457060,12911,162722.0,126700.0,63112.0,36982.0,14309.0,0.0,2026.0,4750.0,1226.0,41469.0,99057.0,4109.0,51.0,12/31/2011,0
457220,61655,274415.0,89345.0,44603.0,38114.0,4086.0,0.0,2298.0,2837.0,5966.0,28765.0,183585.0,163863.0,28.0,12/31/2011,0
457426,54234,397835.0,280185.0,39715.0,156743.0,49264.0,399.0,6723.0,11319.0,-15681.0,107616.0,235502.0,36985.0,120.0,12/31/2011,0
