,AsOfDate,Target,EQTA,EQTL,LLRTA,LLRGL,OEXTA,INCEMP,ROA,ROE,TDTL,TDTA,TATA
750305,12/31/2010,0,0.09070856036255923,0.14196242670385698,0.006306208234739148,0.009869461280447528,0.019011823662986455,39.349333333333334,0.005636245227850447,0.06213575880074111,1.2535345643359155,0.8009606368086232,0.1966891451860255
750341,12/31/2010,0,0.09500965164485205,0.16380551167281024,0.012429038012005506,0.021428822187116028,0.02362005913159631,10.755813953488373,0.0037669921890907906,0.03964852121731676,1.4618079691065473,0.8478705294965669,0.18544189872696026
750444,12/31/2010,0,0.08182167633761052,0.11411212090268559,0.009170617415020775,0.012789747779025834,0.02211198769929161,25.235294117647058,0.007852684373341143,0.0959731543624161,1.2725671397937302,0.9124672804817777,0.07640350716626092
750846,12/31/2010,0,0.10794899583885254,0.16308874065089954,0.012255984158203883,0.018516272488376794,0.015253080720908762,39.285714285714285,0.007358942453070017,0.06817055032226078,1.3404891853648675,0.8872743815143366,0.1293033088481248
751254,12/31/2010,0,0.060668302238451155,0.1118421821496605,0.012209733553945341,0.022508677410684026,0.022409869217651496,6.184210526315789,0.001489764997495927,0.024555903866248695,1.3546110065796393,0.7348028121691612,0.13551155994243802
751656,12/31/2010,0,0.13749785908913975,0.20599052327272105,0.012397041650447645,0.0185724571533429,0.02440378876346179,23.636,0.006133644738549371,0.04460901994534282,1.2390206656102412,0.8270413909432983,0.1945452186324121
751759,12/31/2010,0,0.11876017455115556,0.20426474170930073,0.015293599467576288,0.026304635849994828,0.02233307915145941,22.410788381742737,0.0052398332101230355,0.044121130925636985,1.3741035165179898,0.7989081821339248,0.3066840131243221
751852,12/31/2010,0,0.12877061306555626,0.1712809603403738,0.025041268970874674,0.03330800790153472,0.03180995139114988,35.22857142857143,0.014085713796117004,0.1093860894251242,1.0728156815073697,0.8065527700190208,0.04487322286386666
751955,12/31/2010,0,0.1020531158343043,0.18771709408026013,0.010707541484189802,0.01969551400487769,0.01759813572260838,-38.7,-0.007774518863755073,-0.07618110236220473,1.5218387406695735,0.8273534493149585,0.36783317931616377
752644,12/31/2010,0,0.08975525362048652,0.14251432721302157,0.008342157725444575,0.013245764986343759,0.021710490337912076,21.448275862068964,0.006184531710639482,0.06890439791735903,1.2742062802923857,0.8024927043406066,0.19747746672831312
752653,12/31/2010,0,0.10613600264884138,0.19174187060587936,0.007701794206139361,0.013913812384593379,0.02718901306665771,32.3,0.010849692648025605,0.10222443258884167,1.6008166237549089,0.8861094182626096,0.16267341033528
