,RIAD3210,RCON2170,RCON3360,RCONC410,RCONC411,RCON3123,RIAD4093,RIAD4340,RCON2215,RCON2385,RCON3545,Target,AsOfDate
3804,77467,29719,39751,1542,47759,0,1009,0,7652,1784,-1382,0,9/30/2010
3805,167092,32463,109670,1727,114732,0,55,0,16192,3854,332,0,9/30/2010
3806,988560,41155,723588,6580,692058,0,3307,0,77082,19204,1876,0,9/30/2010
3807,274911,52201,144092,3086,207088,0,2417,0,31404,5558,799,0,9/30/2010
3808,68420,17860,44789,659,41996,0,0,0,5348,1924,126,0,9/30/2010
3809,12083,0,0,0,0,0,0,0,7860,11987,377,0,9/30/2010
3810,191105,35031,100734,2793,77716,0,1073,0,21729,7475,762,0,9/30/2010
3811,186333,49420,120201,1261,137230,0,886,0,16063,4983,325,0,9/30/2010
3812,89997,19314,58911,611,69102,0,0,0,8356,2088,257,0,9/30/2010
3813,323793,104980,180946,3698,211940,0,0,0,32489,6736,621,0,9/30/2010
3814,77530,8828,54297,945,56548,0,981,0,7132,2539,-4484,0,9/30/2010
3815,103105,13522,76846,751,71776,0,0,0,10431,2176,194,0,9/30/2010
3816,41433,12071,23426,352,29997,0,327,0,3509,1047,380,0,9/30/2010
3817,421363,32249,267358,4679,305860,0,327,0,41039,6972,7397,0,9/30/2010
3818,340647,23238,231073,4752,196069,0,0,0,32229,6741,5343,0,9/30/2010
3819,31478,0,26303,503,11367,0,197,0,4810,1383,539,0,9/30/2010
3820,401446,5050571,3601114,,703009,189993,36708,,,,,0,9/30/2010
3821,7415,0,0,0,0,0,0,0,6937,3794,362,0,9/30/2010
3822,464921,26994,327663,5107,338843,0,0,0,42870,9969,2231,0,9/30/2010
3823,45058,17883,21425,517,31125,0,270,0,5273,1528,-323,0,9/30/2010
3824,314495,60094,160278,1433,218778,98,454,177,31742,5768,950,0,9/30/2010
3825,670848,39827,483483,6451,440407,0,837,0,66672,19683,-397,0,9/30/2010
3826,158584,6281,133878,1660,135264,0,0,0,13935,5258,350,0,9/30/2010
3827,67071,27415,32114,644,40863,0,0,0,7187,1599,407,0,9/30/2010
3828,16027,0,500,0,15515,0,0,0,15516,37,5,0,9/30/2010
3829,136338,28210,88679,801,73581,0,0,0,13174,2709,1490,0,9/30/2010
3830,282138,58793,179482,2762,204323,0,0,0,26889,9351,2878,0,9/30/2010
3831,324685,16930,260375,3071,211054,0,1650,0,34901,6824,2274,0,9/30/2010
3832,28010,8946,15973,239,20093,0,0,0,3050,524,282,0,9/30/2010
3833,148928,31996,102081,3474,99817,0,293,0,9029,4580,-434,0,9/30/2010
3834,78364,10867,60042,896,62275,0,1289,0,7455,2375,-314,0,9/30/2010
3835,62267,6125,32887,1031,58266,0,0,0,9405,1169,739,0,9/30/2010
3836,98069,33735,41935,428,57933,0,0,0,11743,2310,1172,0,9/30/2010
3837,752846,98866,508338,8217,468909,0,7413,0,101223,17717,4686,0,9/30/2010
3838,207285,49520,124409,3261,157547,0,449,478,16345,5481,111,0,9/30/2010
3839,168962,41346,103088,1657,122954,0,77,0,13885,2786,483,0,9/30/2010
3840,43225,9727,22441,398,27109,0,0,0,3048,522,682,0,9/30/2010
3841,5613223,19330,28337,237157,5347136,0,9200,0,754589,238229,74020,0,9/30/2010
3842,77748,12225,56914,1105,66223,0,0,0,8563,1513,667,0,9/30/2010
3843,579890,76147,417249,9819,479599,0,1212,0,50811,16648,1764,0,9/30/2010
3844,191241,82501,87023,733,65232,0,0,0,19463,4778,1757,0,9/30/2010
3845,1237931,21411,1070917,3996,415253,0,11091,0,97924,15614,8520,0,9/30/2010
3846,265129,116270,111364,2610,153681,0,0,0,32032,4629,4366,0,9/30/2010
3847,206113,36819,130444,783,119536,0,0,0,28565,3670,-327,0,9/30/2010
3848,374490,69323,248186,4246,263795,0,2381,0,30586,7972,1128,0,9/30/2010
