,RIAD3210,RCON2170,RCON3360,RCONC410,RCONC411,RCON3123,RIAD4093,RIAD4340,RCON2215,RCON2385,RCON3545,Target,AsOfDate
0,21653,4651,14104,186,12287,0,0,0,2405,423,177,0,9/30/2010
1,54633,14683,32036,20,21577,0,0,0,7822,635,1134,0,9/30/2010
2,17735,5350,9925,171,11137,0,0,0,2419,404,210,0,9/30/2010
3,34053,13633,17102,273,14809,0,0,0,3198,655,296,0,9/30/2010
4,92889,16135,61795,1195,63063,0,19,0,10273,1449,1287,0,9/30/2010
5,99624,32923,55534,671,68477,0,435,314,10493,3062,201,0,9/30/2010
6,32967,13777,13341,124,23104,0,0,0,5717,553,248,0,9/30/2010
7,15651,6238,6546,182,2564,0,0,0,2738,203,63,0,9/30/2010
8,16030,3311,10274,157,13875,0,0,0,2392,562,66,0,9/30/2010
9,118418,32879,71634,984,65337,0,1703,141,10942,2806,591,0,9/30/2010
10,183371,49279,106744,1811,125612,0,645,0,23976,4748,2563,0,9/30/2010
11,62823,13802,43343,758,47260,0,0,0,5599,1041,828,0,9/30/2010
12,168100,31126,107829,1674,149703,0,0,0,17357,3682,1239,0,9/30/2010
13,49930,10590,32776,335,26445,0,0,0,6140,1009,334,0,9/30/2010
14,24333,5080,14334,123,11380,0,0,0,2454,458,201,0,9/30/2010
15,55871,12228,39232,666,46156,0,0,0,4342,1344,8,0,9/30/2010
16,218224,49649,116191,1390,142653,0,83,0,22458,2635,3640,0,9/30/2010
17,6707,0,5864,0,2267,0,0,0,790,195,-4,0,9/30/2010
18,38658,10262,23630,382,24760,0,283,0,4567,695,178,0,9/30/2010
19,156680,47201,96478,1671,109677,0,0,0,12799,2542,923,0,9/30/2010
20,48682,15168,26828,285,29853,0,0,0,6607,1063,519,0,9/30/2010
21,16064,4064,9465,151,10729,0,0,0,1496,447,-37,0,9/30/2010
22,17547,4251,11045,160,10912,0,0,0,2214,364,35,0,9/30/2010
23,41580,6679,28765,913,19234,0,328,0,5859,1361,-173,0,9/30/2010
24,33160,11907,16993,148,22137,0,0,0,4126,698,554,0,9/30/2010
25,28872,13070,12707,75,6453,0,0,0,2791,899,464,0,9/30/2010
26,96602,17539,66055,1023,64776,0,0,0,9206,2060,655,0,9/30/2010
27,102870,0,83697,3009,66860,0,1470,0,18789,2137,8747,0,9/30/2010
28,16854,4710,8136,111,8229,0,0,0,3891,275,127,0,9/30/2010
29,570105,25997,464677,8179,460412,0,30,0,51040,10308,3582,0,9/30/2010
30,12684,4992,6713,77,4674,0,0,0,930,302,25,0,9/30/2010
31,35034,9775,19182,185,11250,0,0,0,5593,488,314,0,9/30/2010
32,65357,13303,45808,1568,48334,0,129,0,6054,1636,465,0,9/30/2010
33,588401,81008,443136,4953,408903,0,3097,0,61664,10873,3734,0,9/30/2010
34,71000,29842,34807,583,43262,0,0,0,5904,2154,-2,0,9/30/2010
35,55301,14699,32730,381,31239,0,0,0,5337,814,441,0,9/30/2010
36,48464,9624,33172,220,25075,0,0,0,4784,1116,235,0,9/30/2010
37,54641,18649,22097,797,18598,0,0,0,12120,943,253,0,9/30/2010
38,440105,126288,262230,4645,336565,0,368,0,33321,10443,5530,0,9/30/2010
39,40246,871,32579,262,34646,0,560,0,6693,709,297,0,9/30/2010
40,67267,8620,49625,617,41537,0,0,0,8600,715,816,0,9/30/2010
41,198933,35662,139529,954,142464,0,248,52,17426,5066,2369,0,9/30/2010
42,51114,15051,31516,138,6967,0,0,0,4476,840,421,0,9/30/2010
43,23915,5760,15240,160,10375,0,0,4,2780,640,66,0,9/30/2010
44,22402,5951,14421,201,11567,0,0,0,1898,378,135,0,9/30/2010
45,59180,16415,35127,434,36644,0,0,0,7547,1681,453,0,9/30/2010
46,40094,2614,33795,901,30016,0,1078,0,3580,1115,-705,0,9/30/2010
47,30344,7054,20043,182,19142,0,56,65,3152,761,267,0,9/30/2010
48,53098,10593,35356,572,31184,0,25,0,6885,1145,410,0,9/30/2010
49,156942,37821,94148,1633,78669,0,43,0,23896,3077,1107,0,9/30/2010
50,63928,18761,36418,710,33563,0,251,0,7508,1424,636,0,9/30/2010
51,137201,13273,106755,1088,62998,0,0,0,15111,2256,1889,0,9/30/2010
52,50586,9275,33428,438,35951,0,0,0,4244,1117,150,0,9/30/2010
53,12657,5521,4182,17,1205,0,0,0,2876,259,-42,0,9/30/2010
54,17289,3169,10127,128,10907,0,0,0,2241,403,21,0,9/30/2010
55,28538,7771,16862,304,14368,0,0,0,3778,280,294,0,9/30/2010
56,186656,40247,119628,2216,103489,0,151,82,24892,3352,1264,0,9/30/2010
57,37519,17936,16144,169,12198,0,0,0,3335,655,433,0,9/30/2010
58,50519,11976,26706,568,19096,0,1,7,11593,983,256,0,9/30/2010
59,60976,21802,33741,662,31617,0,0,0,5307,1270,1016,0,9/30/2010
60,83416,21052,45943,876,40797,0,0,0,16169,1326,1152,0,9/30/2010
61,44422,8745,27231,481,29846,0,40,0,4928,1026,283,0,9/30/2010
62,39097,7489,26763,175,19884,0,0,0,4811,552,233,0,9/30/2010
63,53253,2653,38734,253,43983,0,0,0,4951,1099,79,0,9/30/2010
64,126213,25619,77724,1475,96059,0,0,0,17438,2428,2623,0,9/30/2010
65,41769,9644,27796,351,27926,0,0,0,4243,1239,746,0,9/30/2010
66,79659,18425,50988,699,55188,0,0,0,8858,1597,287,0,9/30/2010
67,448693,24785,355103,5461,261468,0,1775,0,56575,3812,7766,0,9/30/2010
68,71612,18896,45647,1234,45914,0,65,0,6703,1541,574,0,9/30/2010
69,19137,7841,8393,135,11005,0,0,0,2884,426,90,0,9/30/2010
70,37866,6416,16497,252,31229,0,0,0,5477,746,411,0,9/30/2010
71,353302,71173,214245,1610,196787,0,1278,80,38514,6827,2388,0,9/30/2010
72,52664,10635,30480,453,22083,0,0,0,11246,716,539,0,9/30/2010
73,60502,13831,37288,478,43896,0,0,20,5544,1634,419,0,9/30/2010
74,248986,77876,124895,2054,84133,0,192,6,45351,3699,2686,0,9/30/2010
75,32010,6155,21251,160,22834,0,0,0,3332,741,402,0,9/30/2010
76,48533,14621,26647,542,37187,0,0,0,5060,1317,469,0,9/30/2010
77,74982,17362,44515,870,62827,0,0,0,7724,1617,1008,0,9/30/2010
78,43003,9878,28474,94,6726,0,0,0,4167,355,120,0,9/30/2010
79,89307,14262,64060,1056,65773,0,165,0,8156,1950,275,0,9/30/2010
80,193491,18355,150727,1696,116927,0,582,0,23590,2957,1726,0,9/30/2010
81,10414,5922,3286,7,3501,0,0,0,1201,262,-21,0,9/30/2010
82,48228,25540,16499,539,34325,0,39,0,6105,2099,426,0,9/30/2010
83,220203,47426,131409,1283,143603,0,1278,0,21479,5181,1634,0,9/30/2010
84,18920,3505,11280,230,16254,0,0,0,4089,201,459,0,9/30/2010
85,65085,13518,41986,554,30339,0,0,0,4543,1231,507,0,9/30/2010
86,64820,11259,41606,1664,50500,0,0,0,5234,1122,-216,0,9/30/2010
87,33282,8890,19543,72,9021,0,0,0,4514,689,231,0,9/30/2010
88,329267,87672,172592,2536,159768,0,0,0,48348,5590,2018,0,9/30/2010
89,56427,15152,32645,593,29510,0,0,0,8563,777,878,0,9/30/2010
90,30082,5034,16821,358,15445,0,0,0,6380,481,330,0,9/30/2010
91,78261,26356,41921,445,34972,0,0,0,8536,1547,531,0,9/30/2010
92,42313,13407,21179,620,21803,0,0,0,7520,767,186,0,9/30/2010
93,68762,26502,29942,413,30374,0,0,0,5274,1334,572,0,9/30/2010
94,48611,7381,34951,566,32385,0,0,0,5121,1603,184,0,9/30/2010
95,29010,7231,16178,244,16357,0,0,0,4630,415,344,0,9/30/2010
96,32612,9881,18664,193,20061,0,0,0,3922,776,186,0,9/30/2010
97,143635,25533,101664,808,70698,0,217,0,15652,2108,1206,0,9/30/2010
98,86116,24701,49931,1171,56953,0,0,0,7527,2068,1013,0,9/30/2010
99,230886,72874,116544,2013,134595,0,586,0,39796,5670,1678,0,9/30/2010
100,35906,0,29447,127,30468,0,0,0,6059,574,203,0,9/30/2010
101,88497,28609,51331,776,45561,0,0,0,8073,2492,1095,0,9/30/2010
102,32532,4934,21080,281,14278,0,0,0,5584,520,263,0,9/30/2010
103,66365,7495,50949,388,31796,0,251,0,5597,864,378,0,9/30/2010
104,33582,7878,15436,168,25138,0,0,0,2941,983,215,0,9/30/2010
105,31261,0,26509,380,24732,0,0,0,3376,463,102,0,9/30/2010
106,166514,55409,83731,2035,98456,0,166,0,19100,3469,1921,0,9/30/2010
107,128812,47258,66288,841,68951,0,1074,0,14887,2624,818,0,9/30/2010
108,107854,29734,62832,1445,62430,0,646,0,13728,2261,960,0,9/30/2010
109,221750,53157,130642,2470,150613,0,581,0,26466,4144,614,0,9/30/2010
110,111961,27124,66445,748,58151,0,573,0,17049,2345,707,0,9/30/2010
111,90804,22733,60095,764,52362,0,234,0,7881,2325,1092,0,9/30/2010
112,13344,3493,8546,92,8162,0,0,0,1246,303,1,0,9/30/2010
113,14540,3922,8319,189,6314,0,0,0,2209,479,30,0,9/30/2010
114,86980,11123,58384,795,66754,0,373,0,10221,1869,351,0,9/30/2010
115,250672,40868,171803,2168,151583,0,483,0,22099,4212,1557,0,9/30/2010
116,52920,14895,30430,446,37073,0,0,0,5291,915,332,0,9/30/2010
117,81277,26274,44386,684,48616,0,0,0,9949,2024,768,0,9/30/2010
118,71920,25438,40589,432,44599,0,0,0,5687,1479,979,0,9/30/2010
119,43222,9730,28464,577,29102,0,550,0,4951,1212,100,0,9/30/2010
120,14791,7613,5422,73,6033,0,0,0,1704,421,-60,0,9/30/2010
121,182605,36088,109007,1760,122910,0,937,0,26826,3571,1766,0,9/30/2010
122,61122,13052,38651,203,18409,0,0,0,9379,1005,893,0,9/30/2010
123,37950,15797,18013,247,14471,0,0,0,4119,885,406,0,9/30/2010
124,164882,39280,85837,1583,73009,0,1,0,39306,3399,4801,0,9/30/2010
125,120854,32711,77218,1105,75561,0,604,0,10545,1819,894,0,9/30/2010
126,18017,7001,8677,58,3595,0,0,0,2256,412,53,0,9/30/2010
127,90565,25614,52674,981,64054,0,0,0,8506,2773,630,0,9/30/2010
128,8244,1106,5555,67,5712,0,0,0,1561,178,63,0,9/30/2010
129,127170,39059,63560,221,52324,0,0,0,15489,1813,1165,0,9/30/2010
130,48383,7869,36089,944,36853,0,419,38,4192,998,370,0,9/30/2010
131,61930,12418,39139,971,35046,0,0,0,10187,1595,-953,0,9/30/2010
132,58423,41810,0,1289,36238,0,0,0,10260,3490,491,0,9/30/2010
133,20036,4835,11819,206,10745,0,0,0,2882,556,177,0,9/30/2010
134,76269,30116,35724,673,39684,0,77,0,10167,1543,631,0,9/30/2010
135,11314,5230,5123,135,6274,0,68,0,892,405,-65,0,9/30/2010
136,85876,25403,51167,690,44241,0,40,272,7199,2616,1004,0,9/30/2010
137,39226,11467,19700,439,23036,0,0,0,7681,696,346,0,9/30/2010
138,121734,20824,84308,1870,84652,0,0,0,15902,870,968,0,9/30/2010
139,17498,5394,9856,155,10178,0,0,0,2174,477,107,0,9/30/2010
140,170094,43773,79442,4009,128100,0,662,0,26572,3812,2994,0,9/30/2010
141,16884,0,11271,83,11828,0,0,0,2591,228,47,0,9/30/2010
142,66725,14402,40587,1029,46915,0,0,0,10412,1209,562,0,9/30/2010
143,74851,6935,60273,824,54700,0,9,0,6627,2433,-170,0,9/30/2010
144,169114,40639,96056,1071,74926,0,0,0,30056,3521,1744,0,9/30/2010
145,112701,21432,72830,725,60583,0,0,0,18041,1222,1181,0,9/30/2010
146,167964,25125,116162,1233,53179,0,0,0,26278,1611,1541,0,9/30/2010
147,48370,6637,27119,309,25981,0,0,0,14538,491,667,0,9/30/2010
148,103184,20748,61996,739,75062,0,341,0,8660,2442,762,0,9/30/2010
149,55921,13527,34824,829,37052,0,723,0,4368,1433,636,0,9/30/2010
150,145023,32281,89753,621,74340,0,0,0,13886,2886,957,0,9/30/2010
151,157764,35170,104857,2047,134415,0,0,0,14263,3462,1890,0,9/30/2010
152,222098,36294,146370,3560,173053,0,830,154,23500,3290,2814,0,9/30/2010
153,24437,5438,16495,69,19167,0,0,0,2472,564,25,0,9/30/2010
154,605508,16482,399394,9222,316524,0,3576,0,130591,15033,-1476,0,9/30/2010
155,22418,4867,15374,129,16599,0,0,0,2095,435,215,0,9/30/2010
156,151449,37831,95309,2886,108433,0,647,0,17615,3631,1351,0,9/30/2010
157,31869,7747,20691,171,14749,0,0,0,3367,620,251,0,9/30/2010
158,72881,18143,47664,292,29500,0,40,0,6954,1154,539,0,9/30/2010
159,61372,21871,27678,463,21124,0,0,0,11616,1391,416,0,9/30/2010
160,192977,54296,121970,1505,154260,0,0,0,16071,4749,1519,0,9/30/2010
161,27965,5394,16399,206,14378,0,0,0,3263,476,363,0,9/30/2010
162,70262,16575,39574,639,36097,0,3504,0,11828,1101,1122,0,9/30/2010
163,244996,67540,130229,1955,175631,0,271,0,36370,5083,1994,0,9/30/2010
164,65503,18128,39882,302,24938,0,204,0,7084,1070,409,0,9/30/2010
165,143043,65917,50926,1620,101529,0,1032,282,20107,4643,443,0,9/30/2010
166,45160,14159,24608,352,34200,0,47,0,5316,1356,471,0,9/30/2010
167,104416,28841,65976,1082,87018,0,616,0,9366,2543,186,0,9/30/2010
168,361866,61652,241336,3528,278529,0,959,0,36553,8657,3345,0,9/30/2010
169,52855,14555,33255,336,26418,0,0,232,4913,1189,395,0,9/30/2010
170,74181,15005,50428,135,27529,0,0,0,8190,1008,551,0,9/30/2010
171,30228,10199,16054,227,12890,0,0,0,3568,444,266,0,9/30/2010
172,515774,15604,364898,10945,245146,0,0,0,69974,7951,6769,0,9/30/2010
173,340444,53467,255574,2158,190825,0,92,0,28633,7842,1815,0,9/30/2010
174,73728,20145,40514,396,24076,0,0,0,12970,942,771,0,9/30/2010
175,14739,5182,7653,76,4589,0,0,0,1828,389,49,0,9/30/2010
176,62350,15237,39206,545,45307,0,0,0,7046,1434,1011,0,9/30/2010
177,656646,44487,467957,8666,369128,0,6490,0,61069,14104,1601,0,9/30/2010
178,134559,34123,85203,956,98131,0,810,0,14485,2764,1651,0,9/30/2010
179,8487,3483,4136,87,5554,0,0,0,838,336,-89,0,9/30/2010
180,103724,46124,41230,753,43523,0,0,0,14593,2082,1061,0,9/30/2010
181,39992,5280,26350,704,33407,0,0,0,4306,695,580,0,9/30/2010
182,440423,71478,283988,4352,364812,0,3092,0,51536,7842,1657,0,9/30/2010
183,106060,48921,38078,284,22583,0,0,0,17901,1941,1719,0,9/30/2010
184,11763,2800,8124,84,5312,0,0,0,820,246,-94,0,9/30/2010
185,281023,15101,223210,120,114384,0,0,0,31484,4700,4597,0,9/30/2010
186,51735,11826,32522,595,26141,0,0,173,6681,1222,511,0,9/30/2010
187,192780,97491,71392,2044,112363,0,442,158,17526,3521,2007,0,9/30/2010
188,64534,14264,37012,598,36254,0,497,0,7427,1117,304,0,9/30/2010
189,99387,32701,54707,745,65422,0,0,0,9305,1956,1026,0,9/30/2010
190,74985,17745,47773,310,30644,0,26,0,8323,1263,557,0,9/30/2010
191,51289,5764,39745,468,36821,0,0,0,5587,770,509,0,9/30/2010
192,36570,12544,18908,173,13833,0,0,0,5013,785,163,0,9/30/2010
193,144246,27102,95882,185,15139,0,0,0,16110,2271,768,0,9/30/2010
194,76642,10941,57954,1360,55492,0,2427,0,6348,2576,-1022,0,9/30/2010
195,74623,22965,42954,468,45891,0,0,0,7754,1545,519,0,9/30/2010
196,84738,26014,48442,1519,59119,0,879,20,7931,1878,469,0,9/30/2010
197,31121,8791,16489,286,17813,0,0,0,2911,626,57,0,9/30/2010
198,37124,9950,18978,183,19414,0,0,0,7405,767,347,0,9/30/2010
199,43897,8426,29910,215,25367,0,336,0,5232,1050,233,0,9/30/2010
200,86365,18769,49933,899,56576,0,0,0,11470,1413,850,0,9/30/2010
201,36715,7543,24858,274,21558,0,0,0,3136,649,169,0,9/30/2010
202,30590,8406,18477,246,17466,0,0,0,3614,624,111,0,9/30/2010
203,70068,14644,46307,908,58428,0,102,0,7503,1455,773,0,9/30/2010
204,9896,2568,6123,30,6814,0,0,0,1173,346,76,0,9/30/2010
205,195206,51018,117468,1720,115516,0,0,0,24197,3523,1548,0,9/30/2010
206,160315,54094,90467,2066,106232,0,122,0,13751,3732,989,0,9/30/2010
207,112592,32678,65244,922,80884,0,0,0,10281,2078,1368,0,9/30/2010
208,99985,24279,58228,778,54486,0,91,0,11419,2385,599,0,9/30/2010
209,29541,11209,12893,120,9500,0,0,0,5245,541,99,0,9/30/2010
210,74926,18949,38335,365,25068,0,0,0,9796,1118,596,0,9/30/2010
211,80740,26751,34348,521,45743,0,0,0,7752,2212,509,0,9/30/2010
212,146366,51805,71722,558,36472,0,0,0,22060,2285,2283,0,9/30/2010
213,103684,9975,62563,1125,47609,0,0,0,17848,3302,-575,0,9/30/2010
214,192306,66077,99349,798,74233,0,0,0,21184,3407,1467,0,9/30/2010
215,44155,9849,27604,403,32804,0,288,0,6517,1078,452,0,9/30/2010
216,174839,33290,93479,2548,114496,0,1271,0,29221,3974,1605,0,9/30/2010
217,58713,22899,29917,399,9781,0,0,0,5828,1015,564,0,9/30/2010
218,52232,4745,37643,442,33540,0,0,0,8546,1138,-32,0,9/30/2010
219,25752,7379,13859,215,5948,0,0,0,4238,605,198,0,9/30/2010
220,24935,3328,16294,307,16044,0,0,0,5129,497,265,0,9/30/2010
221,37033,10859,21261,222,21043,0,0,0,4620,692,269,0,9/30/2010
222,77488,20114,41529,236,35019,0,17,12,11612,1634,845,0,9/30/2010
223,70562,15825,39623,328,14459,0,0,0,13539,989,289,0,9/30/2010
224,124518,54193,51524,579,26885,0,0,0,18006,1391,767,0,9/30/2010
225,49888,13087,31277,271,38763,0,0,0,4722,1022,638,0,9/30/2010
226,143615,20449,105309,1432,86903,0,0,0,12299,3387,-708,0,9/30/2010
227,76200,25695,42024,487,40089,0,0,0,7055,1903,358,0,9/30/2010
228,54152,12377,31018,370,21840,0,0,0,10119,1142,491,0,9/30/2010
229,88484,27961,50594,955,65865,0,840,0,9156,2551,881,0,9/30/2010
230,22088,6992,11933,160,9765,0,13,0,3087,564,70,0,9/30/2010
231,39361,4211,21582,320,19203,0,0,0,12147,425,675,0,9/30/2010
232,34988,8531,15980,398,15947,0,0,0,6481,622,287,0,9/30/2010
233,44948,9660,26663,380,36540,0,0,0,3727,743,405,0,9/30/2010
234,60107,5240,45047,397,28377,0,0,0,9601,757,516,0,9/30/2010
235,166604,31812,91132,1554,141937,0,0,0,15583,2767,2268,0,9/30/2010
236,27096,6895,15981,84,9848,0,0,3,3956,442,285,0,9/30/2010
237,62506,27543,29144,1363,39379,0,1172,0,5479,1736,-750,0,9/30/2010
238,166010,10812,133658,1330,87310,0,5,0,18163,4231,1726,0,9/30/2010
239,15254,9258,3905,159,4361,0,0,0,2057,283,20,0,9/30/2010
240,20765,7692,10848,111,9689,0,0,0,1568,454,58,0,9/30/2010
241,194617,29921,119418,2011,154317,0,1523,0,18540,4500,307,0,9/30/2010
242,36950,8421,23907,293,19693,0,203,4,4204,591,165,0,9/30/2010
243,205150,32139,117352,3320,162549,0,0,0,20757,3352,2843,0,9/30/2010
244,41172,16939,20002,167,13374,0,0,0,4149,983,296,0,9/30/2010
245,80064,31961,40876,744,57637,0,0,0,7021,2083,154,0,9/30/2010
246,39044,12289,22172,406,27374,0,0,0,4106,965,615,0,9/30/2010
247,225158,27893,165897,1869,189324,0,853,0,19196,4888,1002,0,9/30/2010
248,110200,27353,70028,1976,71316,0,1861,0,11070,2863,456,0,9/30/2010
249,232543,53639,114955,4380,141519,0,392,0,38550,3711,2224,0,9/30/2010
250,31298,7788,19369,256,18152,0,0,0,3474,755,213,0,9/30/2010
251,282154,106760,149247,939,111354,0,0,0,25640,5250,4591,0,9/30/2010
252,216321,42503,156278,1856,154464,0,0,0,16836,4013,2633,0,9/30/2010
253,1118364,25287,850671,12827,702672,0,526,0,105854,18619,9554,0,9/30/2010
254,251140,23991,168177,1797,95720,0,0,0,58371,2055,3243,0,9/30/2010
255,194211,49233,104782,2551,87524,0,268,0,34835,5730,403,0,9/30/2010
256,18255,8300,7963,85,6794,0,27,0,1911,491,77,0,9/30/2010
257,36156,10295,22639,294,24120,0,13,0,3152,694,566,0,9/30/2010
258,124177,37970,73163,791,73869,0,157,0,12838,2621,1100,0,9/30/2010
259,15578,476,13290,30,10294,0,0,0,1800,220,89,0,9/30/2010
260,80739,21268,50298,1177,60375,0,7,0,8847,2028,340,0,9/30/2010
261,57119,23235,29133,248,30400,0,0,0,4647,1434,338,0,9/30/2010
262,47657,7940,28087,243,15196,0,0,0,11162,783,445,0,9/30/2010
263,69428,17772,37073,689,39402,0,0,0,12831,973,817,0,9/30/2010
264,60964,14543,36989,365,26263,0,2,0,7771,873,404,0,9/30/2010
265,34090,3826,25704,494,22555,0,5,0,4388,680,321,0,9/30/2010
266,16192,6218,7033,70,8292,0,0,0,1390,360,-1,0,9/30/2010
267,262679,94839,118473,3354,216060,0,2527,0,27316,6237,2525,0,9/30/2010
268,146365,11070,113995,1900,122014,0,319,0,19959,1311,1743,0,9/30/2010
269,44750,13810,24479,713,24460,0,0,0,5807,1233,112,0,9/30/2010
270,128787,23379,86649,769,98678,0,0,0,14452,2400,1825,0,9/30/2010
271,191764,17047,138756,1584,124817,0,0,0,19250,3427,510,0,9/30/2010
272,28777,7562,18357,162,12596,0,0,0,2763,479,251,0,9/30/2010
273,45070,11182,23506,418,37339,0,42,0,5185,754,616,0,9/30/2010
274,13163,5256,5193,65,6997,0,0,0,2549,251,93,0,9/30/2010
275,9070,4783,3169,25,4275,0,0,0,909,343,-43,0,9/30/2010
276,132427,27960,85520,1376,89345,0,581,0,11245,2164,569,0,9/30/2010
277,102817,27714,66380,2724,68897,0,1377,0,8260,4175,-534,0,9/30/2010
278,102722,19771,72327,512,63102,0,0,0,9867,1811,581,0,9/30/2010
279,48700,26340,17074,378,8121,0,0,0,5093,1206,660,0,9/30/2010
280,33930,5979,24694,189,25370,0,0,0,2795,704,199,0,9/30/2010
281,86387,20369,54932,469,64386,0,0,0,10901,1856,867,0,9/30/2010
282,56063,22315,26020,317,15457,0,0,0,7487,1430,293,0,9/30/2010
283,95727,16963,65380,1102,55436,0,0,0,12826,1554,850,0,9/30/2010
284,22685,7587,11405,195,16333,0,0,0,2374,551,214,0,9/30/2010
285,22239,4910,13272,257,15044,0,0,0,2312,453,348,0,9/30/2010
286,52560,20372,21421,125,10733,0,0,0,10080,709,655,0,9/30/2010
287,19097,3409,12145,72,6770,0,0,0,3340,418,165,0,9/30/2010
288,12717,1333,10367,92,9647,0,0,0,997,607,-300,0,9/30/2010
289,86680,13271,61619,892,62823,0,0,0,7672,1316,551,0,9/30/2010
290,18266,6607,9541,334,10192,0,0,0,2090,386,66,0,9/30/2010
291,102425,34910,54886,852,62474,0,405,0,8751,1854,1254,0,9/30/2010
292,71227,26718,36964,751,41889,0,0,0,6874,1920,536,0,9/30/2010
293,53069,23494,22432,241,29715,0,0,0,6935,1487,199,0,9/30/2010
294,40622,10062,22315,217,7536,0,0,0,8162,892,142,0,9/30/2010
295,37722,7698,23287,428,13827,0,0,0,6594,797,314,0,9/30/2010
296,62255,12191,40894,537,33367,0,20,0,8265,842,582,0,9/30/2010
297,120768,29033,81156,676,95354,0,0,0,10257,3303,826,0,9/30/2010
298,261866,48258,167984,2372,203621,0,2216,0,23524,4952,374,0,9/30/2010
299,51604,14798,30773,213,24968,0,0,0,5030,1174,190,0,9/30/2010
300,61124,14118,27779,624,30901,0,0,0,18118,902,683,0,9/30/2010
301,132567,29452,85331,748,74242,0,13,0,16698,2342,1445,0,9/30/2010
302,29231,12630,13291,378,16472,0,0,0,3213,681,45,0,9/30/2010
303,319419,114697,157275,1355,245981,0,228,169,37072,5295,2736,0,9/30/2010
304,163267,36750,96004,1253,95364,0,3,0,19956,2306,1490,0,9/30/2010
305,58528,6438,40631,172,25360,0,0,0,8667,696,598,0,9/30/2010
306,269264,27860,205463,2838,190935,0,1737,0,28594,3644,3418,0,9/30/2010
307,73093,10107,54270,739,50404,0,459,0,6784,1766,284,0,9/30/2010
308,46101,10786,30532,297,22555,0,0,0,4442,895,157,0,9/30/2010
309,37237,5326,28721,110,23346,0,0,0,3061,605,202,0,9/30/2010
310,171654,41582,104389,1072,103338,0,100,0,15132,3051,883,0,9/30/2010
311,109947,24200,71102,1054,70106,0,163,0,12295,2491,1440,0,9/30/2010
312,145219,36193,91953,436,92514,0,0,0,16838,1614,2610,0,9/30/2010
313,10138,4145,5029,101,6655,0,0,0,937,254,85,0,9/30/2010
314,81042,29748,41917,904,22577,0,30,0,8433,1953,507,0,9/30/2010
315,20897,4026,13681,75,11066,0,0,0,3110,449,145,0,9/30/2010
316,243610,18831,196052,1758,169474,0,0,0,23394,6063,2150,0,9/30/2010
317,50789,13390,30930,205,40263,0,0,0,4285,1064,578,0,9/30/2010
318,177946,43289,115218,1303,97319,0,0,0,18901,3921,420,0,9/30/2010
319,15215,2713,10915,73,5374,0,18,0,1538,364,-49,0,9/30/2010
320,99436,26235,57441,1146,57098,0,0,0,12253,2197,801,0,9/30/2010
321,30302,15816,10689,782,20096,0,0,0,3471,897,213,0,9/30/2010
322,67530,10085,45339,553,36573,0,0,0,9728,1658,142,0,9/30/2010
323,32385,8160,17494,250,16905,0,0,0,3751,497,379,0,9/30/2010
324,86731,10985,65849,422,32457,0,0,0,9614,1061,781,0,9/30/2010
325,79146,25703,36341,902,60391,0,412,0,7628,1884,153,0,9/30/2010
326,102325,19710,59408,1942,61624,0,960,264,12557,2204,623,0,9/30/2010
327,104209,16665,69944,797,52531,0,0,0,16945,1356,731,0,9/30/2010
328,43645,14194,23601,286,27494,0,0,0,4846,1068,635,0,9/30/2010
329,834684,190845,487923,14941,481361,0,12495,54,108433,13441,2389,0,9/30/2010
330,83355,22633,44290,477,61777,0,0,0,7994,1603,694,0,9/30/2010
331,102756,54367,35294,1087,70513,0,337,0,9690,3182,466,0,9/30/2010
332,50694,15308,29908,573,41088,0,0,0,4342,834,764,0,9/30/2010
333,220602,43594,151030,2271,190238,0,2869,0,21662,7279,362,0,9/30/2010
334,75816,22680,35991,151,9054,0,0,0,16490,978,617,0,9/30/2010
335,137096,38035,69464,1600,68036,0,360,0,28832,2429,1304,0,9/30/2010
336,347015,34514,275156,6707,315902,0,812,0,29985,5481,1694,0,9/30/2010
337,247764,55093,164646,1750,157984,0,1214,0,23897,6291,1373,0,9/30/2010
338,442814,70720,309221,3369,241468,0,1346,0,41193,5751,4622,0,9/30/2010
339,54557,14457,32805,294,37150,0,0,0,7061,893,416,0,9/30/2010
340,88367,18092,57728,812,39858,0,149,0,11958,1229,728,0,9/30/2010
341,511580,33877,391636,5802,391469,0,2238,0,57738,13561,3658,0,9/30/2010
342,381671,20497,317022,7877,291525,0,3994,0,22222,8528,2169,0,9/30/2010
343,79125,23047,45452,775,53203,0,328,0,9263,2191,249,0,9/30/2010
344,140891,29490,89653,884,72585,0,37,0,12015,2049,1128,0,9/30/2010
345,133921,38513,74353,1075,96440,0,186,0,11845,3721,355,0,9/30/2010
346,254762,39520,160851,1576,174317,0,23,0,28035,6523,2390,0,9/30/2010
347,308513,20421,241769,3009,226547,0,921,104,34283,6984,2362,0,9/30/2010
348,75028,25188,39585,678,28799,0,0,0,8367,1219,965,0,9/30/2010
349,75352,23931,41125,923,57584,0,2,0,9507,1869,903,0,9/30/2010
350,24485,9807,11599,265,11557,0,0,0,2631,595,19,0,9/30/2010
351,87504,21623,47038,738,59660,0,478,0,8846,1994,488,0,9/30/2010
352,96552,14291,66396,769,71571,0,0,0,9450,2132,585,0,9/30/2010
353,22979,8563,11509,156,7196,0,0,0,2822,327,175,0,9/30/2010
