,Total equity capital,Total assets,Total loans,1-4 family residential loans,Other real estate loans,Commercial and industrial loans,Credit cards,Allowance for loan losses,Total noninterest expense,Net Income before,Total transaction deposits,Total nontransaction deposits,Available-for-sale Fair Value,Number of full-time employees,AsOfDate,Target
416,-656,44448.0,31626.0,3722.0,13547.0,9017.0,0.0,1038.0,1171.0,-2259.0,13729.0,31099.0,4.0,15.0,3/31/2012,1
1690,6767,163859.0,106700.0,34684.0,45229.0,19158.0,390.0,3614.0,1420.0,-131.0,39534.0,116868.0,11184.0,32.0,3/31/2012,1
9257,577,43077.0,23607.0,7666.0,10640.0,2310.0,0.0,1651.0,540.0,-782.0,12998.0,29304.0,9023.0,12.0,3/31/2012,1
23156,1486,101026.0,72679.0,37642.0,26419.0,4170.0,0.0,3906.0,1710.0,-707.0,38961.0,60106.0,3103.0,39.0,3/31/2012,1
23632,83,129253.0,77041.0,6800.0,65781.0,4248.0,0.0,3875.0,2610.0,-1976.0,8661.0,120362.0,201.0,33.0,3/31/2012,1
26759,2478,162460.0,140138.0,35553.0,83502.0,16176.0,0.0,5906.0,1640.0,-529.0,19355.0,131596.0,5098.0,31.0,3/31/2012,1
27405,189,169489.0,113566.0,5305.0,82581.0,23805.0,0.0,6324.0,1913.0,-3266.0,32900.0,127124.0,23731.0,42.0,3/31/2012,1
31495,4495,463840.0,403375.0,304839.0,95509.0,2749.0,0.0,14443.0,2938.0,-2893.0,7157.0,450896.0,35074.0,41.0,3/31/2012,1
32503,-22512,433512.0,335088.0,129212.0,172462.0,27860.0,0.0,12906.0,12450.0,-27571.0,56059.0,359884.0,10743.0,72.0,3/31/2012,1
34515,3237,533114.0,336816.0,157561.0,153289.0,14747.0,0.0,13710.0,4899.0,-3459.0,89170.0,383534.0,70645.0,124.0,3/31/2012,1
35224,111,51553.0,37748.0,11633.0,17586.0,5902.0,0.0,1641.0,603.0,-486.0,17345.0,27804.0,5742.0,18.0,3/31/2012,1
35299,2938,150962.0,73650.0,8054.0,56842.0,8120.0,0.0,1757.0,1120.0,-281.0,8203.0,139693.0,18725.0,19.0,3/31/2012,1
35372,1121,54373.0,41853.0,26148.0,14578.0,642.0,0.0,1131.0,455.0,30.0,2879.0,50203.0,0.0,16.0,3/31/2012,1
35527,797,48861.0,27977.0,12242.0,603.0,1147.0,0.0,539.0,515.0,-237.0,10492.0,37294.0,253.0,11.0,3/31/2012,1
57766,1235,163019.0,94125.0,21766.0,60375.0,12195.0,0.0,2502.0,1895.0,-1474.0,13189.0,132345.0,40407.0,20.0,3/31/2012,1
37,18004,85145.0,37565.0,22361.0,6822.0,2561.0,0.0,1044.0,557.0,135.0,15033.0,51820.0,34738.0,24.0,3/31/2012,0
242,4797,36367.0,21614.0,7491.0,7175.0,1427.0,0.0,170.0,198.0,164.0,11888.0,15359.0,9219.0,12.0,3/31/2012,0
279,24586,150311.0,75008.0,47757.0,18236.0,3662.0,0.0,511.0,1099.0,319.0,22458.0,88916.0,11309.0,40.0,3/31/2012,0
354,1011,10580.0,3967.0,1095.0,1011.0,427.0,0.0,173.0,94.0,-9.0,2864.0,6699.0,5646.0,4.0,3/31/2012,0
457,3322,37848.0,31824.0,7667.0,8668.0,5456.0,0.0,377.0,240.0,160.0,6529.0,25412.0,457.0,9.0,3/31/2012,0
505,30601,394776.0,239760.0,128604.0,54815.0,17070.0,0.0,4132.0,2823.0,566.0,25204.0,290506.0,70998.0,109.0,3/31/2012,0
1155,19382,223845.0,131307.0,24982.0,51640.0,35861.0,473.0,2935.0,1480.0,455.0,99591.0,93721.0,23108.0,53.0,3/31/2012,0
1351,18678,162125.0,71162.0,12810.0,26201.0,18391.0,0.0,1428.0,653.0,902.0,27193.0,115668.0,3597.0,30.0,3/31/2012,0
1454,58927,594091.0,224933.0,92138.0,76190.0,25887.0,0.0,3016.0,4078.0,2142.0,256043.0,277965.0,264256.0,146.0,3/31/2012,0
1557,5748,68468.0,34071.0,2895.0,8876.0,3321.0,0.0,371.0,292.0,124.0,29397.0,30635.0,4521.0,13.0,3/31/2012,0
1669,44680,247641.0,82951.0,45337.0,13285.0,8724.0,0.0,3248.0,1356.0,724.0,96940.0,105324.0,61010.0,52.0,3/31/2012,0
1829,43718,405126.0,238708.0,119250.0,100588.0,16708.0,724.0,4164.0,2812.0,712.0,98346.0,242909.0,97623.0,92.0,3/31/2012,0
1856,19304,114608.0,54814.0,1605.0,17816.0,35383.0,0.0,824.0,2956.0,-2685.0,4017.0,61100.0,28434.0,7.0,3/31/2012,0
2040,20971,202142.0,123204.0,27492.0,77919.0,8942.0,5.0,3623.0,1168.0,193.0,38404.0,117666.0,47216.0,43.0,3/31/2012,0
2161,14679,136092.0,60025.0,29889.0,2544.0,14770.0,332.0,596.0,892.0,483.0,57966.0,61853.0,43339.0,31.0,3/31/2012,0
2376,420637,2610566.0,1819615.0,189363.0,1612549.0,11889.0,0.0,30249.0,8877.0,7779.0,59870.0,1347812.0,542790.0,187.0,3/31/2012,0
2554,1210,12264.0,4951.0,435.0,1919.0,921.0,0.0,107.0,68.0,55.0,4848.0,6183.0,1858.0,4.0,3/31/2012,0
2732,77681,534753.0,352846.0,38665.0,276879.0,34843.0,0.0,5895.0,2947.0,664.0,132181.0,322561.0,81647.0,92.0,3/31/2012,0
2750,5265,58759.0,38604.0,2330.0,9123.0,3070.0,0.0,772.0,353.0,-241.0,14371.0,34210.0,14157.0,10.0,3/31/2012,0
3177,102347,994046.0,720449.0,614518.0,97833.0,7312.0,0.0,3406.0,5355.0,1517.0,72660.0,696492.0,65545.0,182.0,3/31/2012,0
3252,20449,168889.0,78543.0,567.0,24729.0,9475.0,0.0,1665.0,817.0,729.0,67075.0,77620.0,72324.0,35.0,3/31/2012,0
3458,3373,35367.0,15314.0,2376.0,7666.0,3062.0,0.0,324.0,190.0,54.0,10637.0,16029.0,10051.0,11.0,3/31/2012,0
3720,29147,211731.0,117538.0,29582.0,51740.0,12027.0,0.0,1488.0,1630.0,517.0,82238.0,90408.0,48484.0,63.0,3/31/2012,0
3953,-656,44448.0,31626.0,3722.0,13547.0,9017.0,0.0,1038.0,1171.0,-2259.0,13729.0,31099.0,4.0,15.0,3/31/2012,0
3971,99262,671573.0,414369.0,163715.0,137403.0,20520.0,0.0,12979.0,17196.0,772.0,35831.0,497997.0,102595.0,592.0,3/31/2012,0
4156,21172,198883.0,124000.0,31010.0,65912.0,13794.0,0.0,1926.0,1621.0,633.0,67536.0,99281.0,45404.0,64.0,3/31/2012,0
4231,14683,127258.0,70166.0,12842.0,45157.0,4259.0,0.0,811.0,803.0,34.0,30732.0,81399.0,42935.0,32.0,3/31/2012,0
4437,26590,260500.0,143150.0,60067.0,60841.0,11314.0,0.0,3366.0,1824.0,-22.0,65361.0,161787.0,92815.0,60.0,3/31/2012,0
4839,32943,324812.0,235610.0,34747.0,187966.0,10877.0,0.0,5101.0,2546.0,1035.0,48971.0,218398.0,62395.0,88.0,3/31/2012,0
5005,33460,342864.0,187700.0,133135.0,52138.0,2282.0,0.0,60.0,5895.0,3808.0,46980.0,204445.0,89472.0,68.0,3/31/2012,0
5069,131281,448681.0,325674.0,33399.0,289196.0,2287.0,0.0,16750.0,1211.0,5282.0,16749.0,296556.0,42989.0,30.0,3/31/2012,0
5135,40301,362744.0,240951.0,56384.0,111354.0,28732.0,499.0,3691.0,2117.0,768.0,84565.0,219690.0,34201.0,63.0,3/31/2012,0
5210,84031,1005156.0,699754.0,364195.0,258823.0,35914.0,0.0,14538.0,6414.0,2049.0,89830.0,700107.0,206111.0,259.0,3/31/2012,0
5331,32349,401989.0,130648.0,18219.0,105585.0,4476.0,0.0,2413.0,2380.0,474.0,63995.0,170921.0,236580.0,70.0,3/31/2012,0
5461,46599,471986.0,336276.0,45626.0,220868.0,41598.0,0.0,4774.0,3942.0,13.0,41964.0,365654.0,83964.0,120.0,3/31/2012,0
5751,26747,122121.0,49060.0,10657.0,9841.0,5628.0,0.0,924.0,603.0,570.0,21936.0,72763.0,64044.0,18.0,3/31/2012,0
6039,8734,82808.0,51395.0,6567.0,31258.0,5935.0,507.0,1108.0,659.0,54.0,26490.0,47363.0,4187.0,23.0,3/31/2012,0
6141,5134,64523.0,23213.0,5897.0,9461.0,1287.0,0.0,345.0,328.0,96.0,38372.0,20935.0,0.0,11.0,3/31/2012,0
6329,33260,437941.0,320243.0,77534.0,100820.0,32158.0,1254.0,7197.0,5250.0,824.0,121983.0,280882.0,34335.0,185.0,3/31/2012,0
7009,53948,813276.0,267042.0,0.0,0.0,60762.0,0.0,0.0,12191.0,4274.0,88430.0,663107.0,532559.0,79.0,3/31/2012,0
7045,16498,151383.0,72648.0,27923.0,22319.0,4383.0,497.0,954.0,884.0,441.0,63813.0,70218.0,68621.0,49.0,3/31/2012,0
7072,25113,134868.0,110667.0,76572.0,31422.0,2077.0,0.0,1511.0,883.0,213.0,9408.0,91270.0,2903.0,21.0,3/31/2012,0
7157,4436,49291.0,26528.0,8294.0,3894.0,6859.0,0.0,372.0,285.0,82.0,10185.0,34349.0,18546.0,8.0,3/31/2012,0
7456,5543,61666.0,33077.0,2700.0,11588.0,8412.0,0.0,402.0,428.0,169.0,23711.0,32356.0,13757.0,16.0,3/31/2012,0
7634,5633,61760.0,40415.0,12561.0,21428.0,3505.0,0.0,1223.0,416.0,230.0,11791.0,44234.0,7635.0,12.0,3/31/2012,0
8033,16179,165436.0,144701.0,44323.0,73202.0,18694.0,0.0,1074.0,888.0,455.0,44208.0,91237.0,10767.0,36.0,3/31/2012,0
8462,16328,163965.0,36454.0,2202.0,7846.0,11615.0,0.0,488.0,561.0,396.0,78452.0,69045.0,87467.0,20.0,3/31/2012,0
8631,6587,60326.0,34582.0,13629.0,6319.0,7061.0,0.0,463.0,436.0,128.0,18338.0,34949.0,10035.0,20.0,3/31/2012,0
9357,71010,365627.0,278043.0,114631.0,53433.0,88012.0,0.0,5525.0,1890.0,1986.0,31757.0,249499.0,45008.0,46.0,3/31/2012,0
9553,9574,122240.0,72896.0,8642.0,27162.0,6416.0,0.0,732.0,492.0,391.0,31672.0,58184.0,34865.0,15.0,3/31/2012,0
9807,205902,2249716.0,1458297.0,497687.0,883595.0,75836.0,0.0,60104.0,11123.0,13050.0,110532.0,1640694.0,195243.0,243.0,3/31/2012,0
9955,13101,113153.0,59238.0,9280.0,26111.0,12021.0,0.0,1373.0,880.0,346.0,41529.0,56305.0,36623.0,26.0,3/31/2012,0
10250,29164,378127.0,266554.0,57626.0,151952.0,46301.0,305.0,9985.0,3129.0,241.0,32836.0,315073.0,49323.0,90.0,3/31/2012,0
10849,26383,263936.0,171104.0,32205.0,120237.0,13757.0,0.0,2873.0,2092.0,145.0,14745.0,217683.0,32213.0,59.0,3/31/2012,0
10858,35478,424605.0,264033.0,38755.0,93834.0,48715.0,0.0,2549.0,3254.0,960.0,6504.0,327884.0,118523.0,119.0,3/31/2012,0
11145,17748,181085.0,131662.0,74516.0,46419.0,3208.0,0.0,1532.0,1395.0,402.0,71854.0,81078.0,17689.0,56.0,3/31/2012,0
11275,138176,1316267.0,1137321.0,577674.0,394534.0,159595.0,0.0,18254.0,7617.0,1388.0,86464.0,1027971.0,11516.0,385.0,3/31/2012,0
11640,34263,352755.0,182096.0,28804.0,69005.0,45156.0,0.0,2990.0,2000.0,1094.0,28278.0,268090.0,106559.0,57.0,3/31/2012,0
11837,11721,101797.0,29862.0,5358.0,22416.0,943.0,101.0,1149.0,584.0,175.0,39493.0,43204.0,59226.0,17.0,3/31/2012,0
12030,38415,315189.0,255392.0,49494.0,151423.0,35164.0,0.0,10436.0,2197.0,1028.0,76590.0,198159.0,8816.0,85.0,3/31/2012,0
12142,20247,199813.0,103462.0,27427.0,46303.0,16809.0,422.0,1750.0,1623.0,300.0,91470.0,85422.0,59467.0,69.0,3/31/2012,0
12179,6644,40080.0,29520.0,22976.0,3405.0,1659.0,0.0,363.0,411.0,37.0,7691.0,24789.0,1418.0,11.0,3/31/2012,0
